K,Dbar_over_A,slog,disperse_nu,reps,kappa,cv_D,nu_num_oracle,nu_den_oracle,nu_den_ratio,nu_num_feas_med,nu_den_feas_med,fail_upper_feas,fail_upper_oracle,fail_mc,cov_oracle,cov_safe,cov_safe_oracle_df,cov_plug,cov_enlarge,cov_model,w_oracle,w_safe,w_plug,w_enlarge,w_model,enl_share,safe_over_oracle,safe_over_enlarge,safe_over_model,cert_rate,cert_error
30,0.25,0.0,False,20000,0.8944271909999159,0.0,299.9999999999999,29.0,1.0,253.24278129708838,28.785800177494412,0.0475,0.05005,0.0015411035007422442,0.96585,0.9709,0.9707,0.96195,0.9977,0.8872,2.28433181812611,2.3900460409178015,2.2724848840357,3.187395239779058,1.6233288688763718,0.65,1.0462779627516687,0.7498430100822618,1.472311671862358,0.7979,0.0
30,0.25,0.5,False,20000,0.894427190999916,0.6847236286820708,204.24190729722062,28.48423109546403,0.9822148653608286,184.26644877715592,28.25324453115191,0.0427,0.0496,0.0015411035007422442,0.9646,0.97045,0.9704,0.95885,0.99565,0.88035,2.288423862210274,2.3963177898286223,2.275297183902121,3.132858789434536,1.6175799511158553,0.65,1.0471477025738312,0.7648981173074656,1.4814215446819616,0.75405,0.0
30,0.25,1.0,False,20000,0.894427190999916,1.6387781002323394,81.39801278402265,26.27479222983151,0.9060273182700521,84.20119513123615,26.36604547910541,0.0201,0.04605,0.0015411035007422442,0.9669,0.9724,0.9718,0.96175,0.9934,0.8829,2.347590677768889,2.470431472558478,2.3363361539697998,3.0572853717170956,1.6212801457420465,0.65,1.0523263258594702,0.8080473924391898,1.5237536085583667,0.61825,0.0
30,0.25,1.5,False,20000,0.8944271909999157,1.3562182622882,105.65880470494113,27.076584623702118,0.9336753318517972,94.17884322668553,26.63128322804061,0.03355,0.0502,0.0015411035007422442,0.96515,0.97065,0.9704,0.9595,0.98665,0.87815,2.3392971103962417,2.4575069200091737,2.3267283030833603,2.9792536154951357,1.6213598530395492,0.65,1.0505321915235082,0.8248733532545364,1.515707272140794,0.64665,0.0
30,1.0,0.0,False,20000,0.7071067811865476,0.0,299.9999999999999,29.0,1.0,252.94119608086635,27.707282298207893,0.03865,0.05115,0.0015411035007422442,0.9653,0.9788,0.97785,0.9219,1.0,0.8423,2.2786364912894164,2.679557587993372,2.2005523391063377,4.8037177025004505,1.5748585689600254,0.65,1.1759478083654693,0.5578091290832095,1.7014591918326014,0.0035,0.0035
30,1.0,0.5,False,20000,0.7071067811865476,0.4540794971461965,248.71740790922203,27.625110330001384,0.9525900113793581,212.9416505419101,26.26140383796626,0.0301,0.05135,0.0015411035007422442,0.96745,0.98,0.9779,0.91795,1.0,0.8392,2.3161625059399107,2.737729349660779,2.23137045707336,4.762114984762399,1.566538143988779,0.65,1.1820109092689912,0.5748977835312339,1.7476301870887536,0.00415,0.00415
30,1.0,1.0,False,20000,0.7071067811865476,0.9470995262276427,158.14464595258642,23.838555941931492,0.8220191704114308,141.13540138607425,22.50987276953593,0.0091,0.04405,0.0015411035007422442,0.9662,0.9813,0.97775,0.914,0.9998,0.83245,2.438633643755282,2.9323301306563536,2.355435463227332,4.665175017897254,1.5644968269835684,0.65,1.2024479930248246,0.6285573680316179,1.874295990941726,0.006,0.006
30,1.0,1.5,False,20000,0.7071067811865476,1.5087226817007773,91.56826783067255,18.716460767750306,0.6453951988879416,88.17165372341643,17.73765168726036,0.0017,0.03625,0.0015411035007422442,0.96885,0.98565,0.981,0.89945,0.9987,0.8106,2.5680710406923963,3.1599924554540157,2.4672783990939022,4.464750380103221,1.5370813843752298,0.65,1.2304926169807309,0.7077646422376158,2.0558393898826917,0.01035,0.01035
30,4.0,0.0,False,20000,0.4472135954999579,0.0,299.9999999999999,29.0,1.0,252.9550226293274,25.98080955948607,0.0325,0.04735,0.0015411035007422442,0.9692,0.9839,0.97885,0.71275,1.0,0.6672,2.290802972787934,3.6629742333872497,2.0275052354978333,8.488860134473518,1.4476038711086794,0.65,1.5989913916208025,0.4315036619005891,2.5303705706326136,0.0,0.0
30,4.0,0.5,False,20000,0.44721359549995787,0.5115574309095494,237.77612647064674,24.963265403466213,0.8608022552919384,204.84112578430663,22.301388946015024,0.02855,0.0497,0.0015411035007422442,0.9692,0.984,0.97605,0.69145,1.0,0.6446,2.400617793088322,3.932540483155074,2.1260804117200287,8.425062443242473,1.421886372445873,0.65,1.63813685563664,0.46676692423915084,2.7657206365867846,0.0,0.0
30,4.0,1.0,False,20000,0.4472135954999579,1.0137057112887373,147.958230490609,17.737160583743805,0.6116262270256484,140.4084342641928,16.772318569016882,0.01465,0.03455,0.0015411035007422442,0.97105,0.99115,0.9817,0.65565,1.0,0.60955,2.610636708061962,4.523345949416047,2.3682024346034747,8.246602254792455,1.4036777056467993,0.65,1.7326600577734188,0.5485102603059747,3.222496112333521,0.0008,0.0008
30,4.0,1.5,False,20000,0.44721359549995804,1.7319610629816709,75.0058293839681,10.162598052849122,0.35043441561548694,71.44140043418251,8.955755669346406,0.00425,0.0247,0.0015411035007422442,0.9742,0.99535,0.9846,0.59405,0.9999,0.54705,2.988151676708944,5.596381578402839,2.7528100656628465,7.851689523256064,1.3702714123471313,0.65,1.872857265587842,0.7127614460335974,4.084140943155797,0.00245,0.00245
100,0.25,0.0,False,20000,0.8944271909999159,0.0,1000.0000000000002,99.0,1.0,836.8289082551864,98.2343384855865,0.0441,0.04675,0.0015411035007422442,0.94985,0.95455,0.95455,0.94855,0.99795,0.89565,1.990261014165037,2.0454314668176075,1.987987277715845,3.135727538194985,1.6408345776537845,0.7000000000000001,1.027720209691047,0.652298849916985,1.2465799384495861,1.0,0.00045
100,0.25,0.5,False,20000,0.8944271909999157,0.4700709213058091,819.0231754107202,98.14132354241629,0.9913265004284474,692.9340058283897,97.2544640398028,0.0481,0.05065,0.0015411035007422442,0.9488,0.9536,0.9535,0.9469,0.997,0.8933,1.9890365571711046,2.0443898518492167,1.9860660834634225,3.10466637070069,1.6379450395452926,0.7000000000000001,1.0278291992565678,0.6584893858942465,1.2481431320899246,1.0,0.0006
