K,d_over_A,nu_per_pop,sig_mis,reps,m,nominal,guarantee,alpha1,alpha2,fallback,mc_se,ms_scale,ms_conformal,ms_gaussian,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_over_oracle,conformal_cov,conformal_w,conformal_over_oracle,gaussian_cov,gaussian_w,gaussian_over_oracle,gaussian_fixed_cov,gaussian_fixed_w,gaussian_fixed_over_oracle,gaussian_plugin_cov,gaussian_plugin_w,gaussian_plugin_over_oracle,sep_bonf_cov,sep_bonf_w,sep_bonf_over_oracle,gauss_over_conformal,gaussfix_over_conformal,conformal_narrower_pct,nominal_conformal,nominal_gaussian,nominal_plugin
60,0.5,8,0.0,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.285241755656898,0.00064688790589571,0.0005007198080420495,0.9529,2.024018697914295,0.9839,2.500985732722326,1.239047856834924,0.9713,2.2315441845078356,1.1013561759186195,0.9937,2.845673187981381,1.4136143397142233,0.9955,2.988517757636857,1.4845736940308474,0.9402,1.9391708771364422,0.9607945765945286,0.9804,2.400757261265331,1.1878445295877271,1.2846217891524825,1.3491060902368606,22.156076718911887,0.8999999999999999,0.8999999999999999,0.95
60,0.5,8,0.4,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.2819643061608076,0.0006472000852227211,0.0004600768908858299,0.9541,2.029585378687637,0.984,2.5108983737424335,1.2403494516729194,0.9694,2.2407585465273057,1.1035135205388908,0.9942,2.8511160672604072,1.4116093495383188,0.996,2.994233853725032,1.4824680591428059,0.9386,1.945384150551363,0.9606186220218748,0.9794,2.40856077643232,1.1883440834757775,1.2814711047922,1.345797250627597,21.964686034636937,0.8999999999999999,0.8999999999999999,0.95
60,0.5,16,0.0,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.28358545918017625,0.0006273498758673668,0.0005569083616137505,0.9521,2.027091266955516,0.9837,2.491348534999042,1.2306140985336134,0.9657,2.2099252860389553,1.0880862635095363,0.993,2.8199058727936377,1.3980550587149074,0.9953,2.9614569976977227,1.4682333820937965,0.9397,1.9408255258973313,0.9599076637568782,0.9769,2.372110147357476,1.1702348838141512,1.2854000697935208,1.3499234383167427,22.203209452086448,0.8999999999999999,0.8999999999999999,0.95
60,0.5,16,0.4,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.2781848285347223,0.0006261391565203667,0.00045293401926755906,0.9488,2.023260582792729,0.9841,2.5011802855190663,1.239358642820488,0.9644,2.217509703111587,1.095326927518999,0.9927,2.8207746201675925,1.4008754302192163,0.9944,2.9623693536790516,1.471195328096366,0.9391,1.9389599988559247,0.9605608357163805,0.9757,2.3640433958539098,1.1692971400905625,1.2815069854793621,1.3458349324215546,21.966870931574455,0.8999999999999999,0.8999999999999999,0.95
60,1.0,8,0.0,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.28161643370985984,0.000901745818555355,0.0004468938335776329,0.9528,2.0230378708757626,0.9937,2.9039254214507855,1.439473223160553,0.9763,2.4043878646019214,1.1857167795883632,0.9955,3.0640992982130535,1.5200938936893544,0.9965,3.2179082273210975,1.596398213875188,0.925,1.9161498459596187,0.9447583465283442,0.9905,2.7287949739687054,1.3505352708658196,1.283766555530967,1.3482079263592863,22.10421780411633,0.8999999999999999,0.8999999999999999,0.95
60,1.0,8,0.4,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.2810818523168564,0.0006403239443898201,0.0004896515980362892,0.9516,2.026052317813525,0.9932,2.9159027220570404,1.4439250786061903,0.9776,2.41106512690882,1.188612334345968,0.9953,3.050003834793132,1.510701603550876,0.9976,3.203105212375296,1.5865344579167493,0.9226,1.913148701252602,0.9414275157097214,0.9898,2.7272616055123735,1.348244344405852,1.2751736772350646,1.3391837104075126,21.579309716596295,0.8999999999999999,0.8999999999999999,0.95
60,1.0,16,0.0,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.27962799090892076,0.0006307279691100121,0.00044220909476280215,0.9557,2.029904199054303,0.9948,2.9119197265994456,1.4390051780938131,0.9757,2.3718100778280533,1.1651224421077375,0.9953,3.019506096676091,1.4924441796356038,0.9969,3.1710765759473762,1.56736056408736,0.9299,1.9225897869912159,0.9443306739339696,0.9893,2.672085965108572,1.3173909616329103,1.2825496414130804,1.3469299266697288,22.03030840208059,0.8999999999999999,0.8999999999999999,0.95
60,1.0,16,0.4,10000,58,0.9508196721311475,0.8999999999999999,0.04,0.010000000000000002,0.0,0.0021794494717703367,0.2751803627237678,0.0006250470876693725,0.0004515441134572029,0.9511,2.023524015500769,0.9929,2.9230443571630995,1.44988256671174,0.9756,2.377407487113575,1.1729038286675417,0.9955,3.013565663453173,1.494548267531267,0.9971,3.1648379501453245,1.569570271114286,0.9256,1.91314519609706,0.942925349903767,0.9876,2.6523145473588743,1.312257388278694,1.277781599928513,1.3419225432829218,21.739364531783345,0.8999999999999999,0.8999999999999999,0.95
200,0.5,8,0.0,10000,191,0.9502487562189055,0.8999999999999999,0.045,0.0050000000000000044,0.0,0.0021794494717703367,0.7567347640171647,0.002495344169437885,0.0009117718786001205,0.9468,1.9793158276897578,0.9821,2.433482035406506,1.2303138221774321,0.957,2.102635113617832,1.061675676852429,0.9826,2.437384013789197,1.2329998993991809,0.9889,2.635961189236225,1.3334541716697688,0.9425,1.9543438801252422,0.988095856339728,0.9766,2.33334301916396,1.1793026521346281,1.1615996924842866,1.2562368873738465,13.911822939508278,0.8999999999999999,0.8999999999999999,0.95
200,0.5,8,0.4,10000,191,0.9502487562189055,0.8999999999999999,0.045,0.0050000000000000044,0.0,0.0021794494717703367,0.7808970520272851,0.002507946267724037,0.001060291938483715,0.9507,1.9796047678858035,0.9844,2.4371108748989667,1.2321601414173873,0.9634,2.107217811097375,1.0641787439080166,0.984,2.436911117969723,1.2325713334097965,0.9911,2.6354497659153067,1.3329906897938508,0.9473,1.9534443456634945,0.9874792583667973,0.9792,2.3304992017480077,1.1777989134662943,1.158952518315505,1.2533740441244525,13.715188137865786,0.8999999999999999,0.8999999999999999,0.95
