route,level,t0_q,K,reps,nu,Dbar_over_A,A,m,nominal,vL_bonf_cov,vL_marg_cov,mc_se,oracle_over_oracle,oracle_cov,boundA_only_over_oracle,boundA_only_cov,boundD_only_over_oracle,boundD_only_cov,current_over_oracle,current_cov,no_multiplicity_over_oracle,no_multiplicity_cov,uncorrected_over_oracle,uncorrected_cov,loss_boundA,loss_boundD,loss_current,loss_no_mult,available,mult_share_of_current_loss,captured_now,captured_no_mult
low_signal,S2,0.5,60,2000,16,0.5438729737468418,0.003052915995797252,58,0.9508196721311475,1.0,0.7575,0.00670820393249937,1.0,0.957,1.1003505195577672,0.9695,1.1355869941142047,0.9745,1.1825348990029727,0.9765,1.1576456071596795,0.975,1.2363112507743235,0.9825,0.10035051955776719,0.13558699411420472,0.1825348990029727,0.15764560715967946,0.23631125077432347,0.13635360678556,0.22756577012368748,0.3328899633719491
low_signal,S2,0.5,200,2000,16,0.5438729737468418,0.003052915995797252,191,0.9502487562189055,1.0,0.38,0.00670820393249937,1.0,0.9465,1.0788609270742193,0.963,1.1412812937267225,0.9755,1.1769256206402507,0.982,1.141915137024585,0.975,1.2372768551161708,0.9855,0.07886092707421932,0.1412812937267225,0.17692562064025075,0.14191513702458503,0.2372768551161708,0.1978824971135967,0.25434943684824246,0.40190063225887185
low_signal,S2,0.15,60,2000,16,0.7567912035022217,0.0009862289357615308,58,0.9508196721311475,0.9955,0.25,0.00670820393249937,1.0,0.9505,1.1424173854251858,0.9715,1.170111658344617,0.975,1.2464596006120128,0.9805,1.210229785501074,0.9785,1.328692304907345,0.9855,0.14241738542518578,0.17011165834461695,0.24645960061201277,0.21022978550107396,0.3286923049073449,0.1470010298684746,0.2501814099922805,0.3604055149379428
low_signal,S2,0.15,200,2000,16,0.7567912035022217,0.0009862289357615308,191,0.9502487562189055,0.998,0.0085,0.00670820393249937,1.0,0.9395,1.1151264506444734,0.961,1.179250858384066,0.9695,1.2381220826422024,0.974,1.1888162025189668,0.9705,1.326273264504943,0.982,0.11512645064447335,0.17925085838406596,0.23812208264220236,0.1888162025189668,0.3262732645049431,0.20706135095131695,0.27017592752042735,0.42129428592483953
small_sample,S2,0.5,60,2000,4,0.548456260199602,0.025167814026377192,58,0.9508196721311475,0.9995,0.624,0.00670820393249937,1.0,0.956,1.0891734890154239,0.9765,1.1667643993911352,0.985,1.179106278717646,0.986,1.1690745163941278,0.9845,1.191083663538765,0.9865,0.08917348901542388,0.1667643993911352,0.17910627871764606,0.16907451639412785,0.19108366353876494,0.05601010972559419,0.06268136479751465,0.11518068440305006
small_sample,S2,0.5,200,2000,4,0.548456260199602,0.025167814026377192,191,0.9502487562189055,0.9995,0.164,0.00670820393249937,1.0,0.957,1.0742724350241915,0.9705,1.1697959319459321,0.981,1.180508048045556,0.985,1.1652259463554218,0.9805,1.1944615741654565,0.987,0.07427243502419145,0.16979593194593212,0.1805080480455561,0.16522594635542176,0.1944615741654565,0.08466160847452896,0.07175467019529595,0.15034141287553182
small_sample,S2,0.15,60,2000,4,0.754099790653959,0.009436026955690669,58,0.9508196721311475,0.7175,0.0685,0.00670820393249937,1.0,0.9395,1.203902481120601,0.9625,1.3031582915139184,0.969,1.3944471787936445,0.9755,1.3301195294071855,0.9705,1.48079165948606,0.9785,0.20390248112060094,0.3031582915139184,0.39444717879364455,0.3301195294071855,0.48079165948605995,0.1630830510264903,0.17958814174254384,0.31338341068548226
small_sample,S2,0.15,200,2000,4,0.754099790653959,0.009436026955690669,191,0.9502487562189055,0.445,0.0005,0.00670820393249937,1.0,0.9315,1.168873550293209,0.9555,1.332285802406035,0.972,1.4034560909315545,0.976,1.3146225604196378,0.971,1.4954313056353963,0.982,0.16887355029320905,0.3322858024060349,0.40345609093155455,0.31462256041963776,0.4954313056353963,0.2201814088537015,0.1856467559834203,0.364952200555573
