eps,rho2,nu_nec,K_nec,sufficient,ratio_suf_nec,axes_equal,duality_err,const
0.05,0.2,3.307703059955993,3.3077030599559976,48.018235258676555,14.517093701668434,4.440892098500626e-15,5.329070518200751e-15,0.13230812239823975
0.05,0.4,81.91910657149434,81.9191065714961,341.46300628392225,4.168295048309795,1.7621459846850485e-12,5.551115123125783e-16,0.4607949744646556
0.05,0.6,520.4345462548808,520.4345462548447,1728.6564693123555,3.321563646671819,3.61524143954739e-11,2.220446049250313e-16,0.5782606069498678
0.05,0.8,4090.4139522706905,4090.4139522706905,12292.668226221209,3.005238190965304,0.0,2.220446049250313e-16,0.6391271800422951
0.02,0.2,81.44759923052382,81.44759923052034,300.11397036672855,3.6847491295269013,3.481659405224491e-12,8.881784197001252e-15,0.5212646350753525
0.02,0.4,746.3315201511203,746.3315201511203,2134.1437892745143,2.859511800925122,0.0,2.220446049250313e-16,0.6716983681360083
0.02,0.6,4070.6187825223597,4070.6187825157162,10804.102933202224,2.654167218898219,6.643404049100354e-09,4.1744385725905886e-14,0.7236655613373086
0.02,0.8,29999.785949980433,29999.785949980433,76829.17641388257,2.5609908198005886,0.0,2.220446049250313e-16,0.7499946487495103
0.01,0.2,418.8030816753572,418.80308167549725,1200.4558814669142,2.866396963137605,1.4006218407303095e-10,2.7422508708241367e-14,0.6700849306805715
0.01,0.4,3329.7289253437675,3329.728925334878,8536.575157098057,2.563744781781816,8.8894012151286e-09,8.08242361927114e-14,0.7491890082023476
0.01,0.6,17460.3883050663,17460.3883050663,43216.4117328089,2.4751117201826056,0.0,2.220446049250313e-16,0.7760172580029469
0.01,0.8,126322.85627562404,126322.85627562404,307316.70565553027,2.432787816204816,0.0,2.6645352591003757e-15,0.7895178517226498
0.005,0.2,1871.949777586564,1871.949777586096,4801.823525867657,2.5651454880688473,4.681623977376148e-10,1.021405182655144e-14,0.7487799110346257
0.005,0.4,14032.237560335869,14032.237560335869,34146.30062839223,2.4334180832935473,0.0,6.661338147750939e-16,0.7893133627688925
0.005,0.6,72264.5803074805,72264.5803074805,172865.6469312356,2.3921213711572795,0.0,1.509903313490213e-14,0.802939781194228
0.005,0.8,518255.75224435725,518255.75224435725,1229266.822622121,2.3719308802626133,0.0,1.7763568394002505e-15,0.8097746128818077
