K,Dbar_over_A,sigma_e,reps,B,nu,m,nominal,mc_se_975,mc_se_90,gvf_bias,elasticity,AU_piv_cov,AU_piv_mean,cov_oracle,w_oracle,AU_pct_B2000_cov,AU_pct_B2000_mean,AU_pct_B200_cov,AU_pct_B200_mean,AU_basic_B2000_cov,AU_basic_B2000_mean,AU_basic_B200_cov,AU_basic_B200_mean,AU_ratio_pct_over_piv,piv_conformal_contain,piv_conformal_cov,piv_conformal_w,piv_conformal_over_oracle,pct_conformal_contain,pct_conformal_cov,pct_conformal_w,pct_conformal_over_oracle,pct_normal_contain,pct_normal_cov,pct_normal_w,pct_normal_over_oracle,band_ratio_pct_over_piv,sqrt_bound_on_band_gain,normal_over_conformal
60,1.0,0.0,2000,2000,10.0,58,0.9508196721311475,0.0034910600109422352,0.00670820393249937,0.030337772812648378,0.2172340617369937,1.0,2.61287203089061,0.939,2.0316081519148046,0.958,1.7139358542344045,0.9565,1.6984477172020593,0.9155,1.565809408893268,0.9105,1.5549157196325496,0.6563425591486631,1.0,0.9855,2.7254416681413414,1.343880072036737,0.9995,0.983,2.6369564239269185,1.2985707707136462,0.994,0.977,2.54303113366575,1.255396657455787,0.9671605244466546,0.8101497140335625,0.9712767303406735
60,1.0,0.6,2000,2000,10.0,58,0.9508196721311475,0.0034910600109422352,0.00670820393249937,0.0240800812493831,0.20993990859200212,1.0,2.5826316483606306,0.9575,2.028725275794528,0.9465,1.734273710995059,0.9425,1.7142429170420064,0.911,1.5976661823090874,0.912,1.586932735233814,0.6691648661389156,1.0,0.9885,2.7126807338229555,1.3396177970134473,1.0,0.986,2.622627999502501,1.293262597178337,0.9835,0.987,2.555106177153667,1.262242175316828,0.9665528960015679,0.8180249789211302,0.9806195398453008
60,4.0,0.0,2000,2000,10.0,58,0.9508196721311475,0.0034910600109422352,0.00670820393249937,0.08025468032198813,0.3634469913547697,1.0,5.805511632922023,0.949,2.026935344355162,0.949,2.540166580538507,0.9475,2.511720774551057,0.8925,2.1207037342459434,0.8895,2.1019511512834796,0.43387644915505574,1.0,1.0,4.1362655659854966,2.043483224184537,0.9965,0.9975,3.630904882338178,1.7834743743346964,0.974,0.991,3.0554903107114915,1.501247771436163,0.8760833299022058,0.6586929855061884,0.8451442124089302
60,4.0,0.6,2000,2000,10.0,58,0.9508196721311475,0.0034910600109422352,0.00670820393249937,0.0955794507796155,0.3526926310372001,1.0,5.696225124543776,0.953,2.027570232275379,0.9445,2.735067901193088,0.939,2.6952592666375406,0.883,2.2922879376968095,0.874,2.2691503752022326,0.4739150183560007,1.0,1.0,4.113310422758853,2.031690874065985,0.9965,0.9945,3.638512756810663,1.7877092378840929,0.967,0.983,3.149254288306906,1.5479038821533522,0.8825072501006579,0.6884148591917527,0.8671990921139148
200,1.0,0.0,2000,2000,10.0,191,0.9502487562189055,0.0034910600109422352,0.00670820393249937,0.0038274057266303174,0.21466845821202385,1.0,2.104747457390672,0.9535,1.9786150555963034,0.961,1.3540669661971418,0.957,1.3460410953147282,0.9405,1.3098395579444155,0.9345,1.3032380597198907,0.64255372457034,1.0,0.9885,2.6138075845059303,1.3215784255074632,1.0,0.986,2.523831227110314,1.2756106633749518,0.992,0.974,2.2738469757209625,1.150056082040525,0.9655830002698209,0.80159448885976,0.9027963485157006
200,1.0,0.6,2000,2000,10.0,191,0.9502487562189055,0.0034910600109422352,0.00670820393249937,-0.00011872554050973427,0.1997822975188885,1.0,2.0667940588818547,0.9485,1.978629516758798,0.9585,1.3655579532245314,0.955,1.3578237070386963,0.934,1.3134262896122395,0.933,1.3073773697526485,0.6595050922613198,1.0,0.9875,2.5938973097497184,1.3119722860588832,1.0,0.984,2.504980158687951,1.2664801784533857,0.9905,0.972,2.2825093800482135,1.1543494546511452,0.9657533788838779,0.8120991886840669,0.9127494638546497
200,4.0,0.0,2000,2000,10.0,191,0.9502487562189055,0.0034910600109422352,0.00670820393249937,0.039155584173377944,0.3509183264219719,1.0,4.575897352041957,0.949,1.985931009157566,0.968,1.8125265984870922,0.9655,1.7931832562852896,0.9235,1.624304901191028,0.918,1.6112976753588208,0.3995221382323467,1.0,1.0,3.916532655209345,1.973570091451615,1.0,0.9995,3.367197254009505,1.6940721347521994,0.9855,0.9845,2.6116138381253093,1.3148996611697086,0.8606278490998871,0.6320776362381023,0.7762493208983423
200,4.0,0.6,2000,2000,10.0,191,0.9502487562189055,0.0034910600109422352,0.00670820393249937,0.04167610581180159,0.3367486689299399,1.0,4.402285380220637,0.952,1.9769109561429055,0.9675,1.8738775670532786,0.9625,1.8550397627319528,0.93,1.6733545840213793,0.927,1.6619656054367764,0.423369680723693,1.0,1.0,3.849416517967804,1.9486947487157413,1.0,0.998,3.341910191785442,1.688932723974425,0.988,0.987,2.655146909001338,1.3416846485854812,0.868200119650304,0.6506686412635029,0.7943058820688434
