essround,min_n,K,n_eval,marginal_coverage,nominal,worst_country,p10_country
9,40,275,275,0.890909,0.9,0.466667,0.828571
9,60,229,229,0.90393,0.9,0.272727,0.814286
9,80,197,197,0.903553,0.9,0.375,0.752448
9,100,171,171,0.894737,0.9,0.5,0.682051
9,150,114,114,0.903509,0.9,0.5,0.6
10,40,290,290,0.896552,0.9,0.590909,0.76875
10,60,250,250,0.896,0.9,0.5625,0.735354
10,80,213,213,0.906103,0.9,0.6,0.725
10,100,188,188,0.893617,0.9,0.5,0.7125
10,150,115,115,0.895652,0.9,0.4,0.625
11,40,285,285,0.894737,0.9,0.434783,0.766667
11,60,233,233,0.896996,0.9,0.230769,0.78
11,80,196,196,0.892857,0.9,0.1,0.75
11,100,162,162,0.895062,0.9,0.166667,0.716667
11,150,106,106,0.90566,0.9,0.428571,0.733333
