item,essround,min_n,K,m,nominal_rank,n_countries,zero_Dhat,nu_med,nu_q10,nu_q90,Fc_med,gamma_hat,gamma_lo,gamma_hi,t_lo,fallback,struct_R2_on_Dhat,struct_slope,skew_dev,kurt_dev,rho2_hat,w_certified,w_gaussian,w_sep_bonf,w_uncorrected,cert_over_unc,cert_over_sep,cert_over_gauss,dev_K,dev_m,dev_nominal_rank,dev_n_countries,dev_zero_Dhat,dev_nu_med,dev_nu_q10,dev_nu_q90,dev_Fc_med,dev_gamma_hat,dev_gamma_lo,dev_gamma_hi,dev_t_lo,dev_fallback,dev_struct_R2_on_Dhat,dev_struct_slope,dev_skew_dev,dev_kurt_dev,dev_rho2_hat,dev_w_certified,dev_w_gaussian,dev_w_sep_bonf,dev_w_uncorrected,dev_cert_over_unc,dev_cert_over_sep,dev_cert_over_gauss,ratio_med,ratio_q10,ratio_q90,Wshare_med,corr_med,nreg_med
trstprl,9,40,274,262,0.9527272727272728,29,0,29.5,8.0,208.7,0.4992773835426906,0.5404826207328707,0.4399820391032527,0.6409832023624886,0.3261250407551676,0,0.3693378579161754,-0.5404826207328707,-0.3035516765135099,1.3272466084978856,0.3811989525941315,0.1714178094760333,0.1822780779670275,0.1764174780306824,0.2009070969177715,0.8532192844645617,0.971660015716926,0.9404192286196988,274,262,0.9527272727272728,29,2,29.5,8.0,208.70000000000002,,1.002310432396283,0.9018098507666651,1.1028110140259009,0.8408082525732703,0,0.15215343635751022,-1.002310432396283,-0.3035516765135099,1.3272466084978856,0.3750966345551331,0.14697173661901405,0.15657019215352225,0.17697755957778313,0.20090709691777153,0.7315407911108662,0.830454081125572,0.9386955115626568,0.9510745549646679,0.7974632962229556,1.1631874480454238,0.07267176850120885,-0.06946866914666926,14.0
trstprl,9,60,229,219,0.9521739130434784,29,0,39.0,11.8,226.80000000000007,0.4804049062132214,0.4478588947464239,0.3435963942475926,0.5521213952452552,0.298141765225851,0,0.2760237424755778,-0.4478588947464239,0.0065031299590888,1.0480230622152726,0.355422642057958,0.1499332345021044,0.1682010898994782,0.1520902632781906,0.1656399750770811,0.9051754229758394,0.9858174433419136,0.8913927644090108,229,219,0.9521739130434783,29,2,39.0,11.8,226.80000000000007,,1.0081682575441078,0.9039057570452764,1.1124307580429391,0.7791590350598313,0,0.12294717990543991,-1.0081682575441078,0.006503129959088878,1.0480230622152726,0.34535516045223796,0.1407109498945922,0.1466898770051501,0.1542799847338983,0.16563997507708117,0.8494987386294393,0.912049285831147,0.9592410380823485,0.9428279724589661,0.7879092106385206,1.1576464450113846,0.08920342608291484,-0.07732320671049352,12.0
trstprl,9,80,197,189,0.9545454545454546,29,0,46.0,15.0,239.4000000000001,0.4804049062132214,0.4309394295991376,0.3486755996765344,0.5132032595217408,0.2989375247091629,0,0.2461796019893264,-0.4309394295991376,0.1471275296669257,1.4947519700851115,0.3404268751762867,0.1482099080315675,0.1614118792727275,0.1508596908795093,0.1656399750770811,0.8947713736529936,0.9824354482466878,0.9182094198974452,197,189,0.9545454545454546,29,2,46.0,15.0,239.40000000000006,,1.0885382958010756,1.0062744658784724,1.170802125723679,0.9304915495498749,0,0.11609345484648825,-1.0885382958010756,0.14712752966692577,1.4947519700851117,0.32543647217326666,0.12666939224159462,0.13483049460038068,0.1532839410519806,0.16563997507708117,0.7647271872786057,0.8263709255664256,0.939471390481994,0.9303570925449739,0.7721467340579915,1.104507497521935,0.09839359568164503,-0.07767032423278454,12.0
trstprl,9,100,172,165,0.953757225433526,29,0,54.0,15.1,262.80000000000007,0.4804049062132214,0.3994571952062664,0.3167435500995347,0.482170840312998,0.286127768491114,0,0.2137606112742155,-0.3994571952062664,0.0432271832683933,2.162803483116477,0.3283739315535528,0.1476331992404438,0.1561661750055687,0.1497166883502029,0.1656399750770811,0.8912896731102635,0.9860837884358922,0.9453596416456984,172,165,0.953757225433526,29,2,54.0,15.100000000000001,262.80000000000007,,1.1479910683170564,1.0652774232103248,1.230704713423788,0.9988087817178763,0,0.10929665883621986,-1.1479910683170564,0.04322718326839336,2.162803483116477,0.31109421034347845,0.12228522568723194,0.12795651389404106,0.15233411685529882,0.16563997507708117,0.73825914082833,0.8027435233263595,0.9556780031417124,0.926554211886877,0.759459539202145,1.0859053001151908,0.11328091927838568,-0.08129248342156101,11.0
trstprl,9,150,115,111,0.956896551724138,29,0,84.0,14.4,330.40000000000003,0.4448801335000725,0.2849815052382862,0.1900506912477976,0.3799123192287748,0.336568225280911,0,0.1150220152878911,-0.2849815052382862,0.0007282431129432,0.820000626559918,0.3939332435376434,0.1097187511928518,0.1225999553043037,0.1074576593966282,0.1227009925949519,0.8941961175085537,1.0210416996696148,0.8949330439845626,115,111,0.9568965517241379,29,2,84.0,14.4,330.40000000000003,,1.2910604532793004,1.1961296392888119,1.385991267269789,1.508531235463176,0,0.09069359549243716,-1.2910604532793004,0.0007282431129432502,0.820000626559918,0.3665535191415687,0.09705288793893688,0.09940329863289099,0.1087355129577101,0.12270099259495199,0.7909706831738353,0.8925592504141965,0.9763548018397812,0.8919537548340352,0.7221420591870843,1.0502346880270685,0.14362844314047743,-0.1053301029086701,9.0
trstprl,10,40,216,207,0.9539170506912442,22,0,30.0,8.0,179.5,0.4210524218244235,0.6375925041192455,0.5343299602065824,0.7408550480319086,0.3177138785116373,0,0.6052186711593703,-0.6375925041192455,-0.4175013870095641,1.558711408808981,0.3545029708358804,0.1793716604537617,0.1973582080674966,0.1949504831449166,0.2217864542454775,0.8087584116171032,0.9200883094012424,0.9088634428238044,216,207,0.9539170506912442,22,1,30.0,8.0,179.5,,0.9371307292168629,0.8338584308499519,1.040403027583774,0.5572490137564176,0,0.19037473064068777,-0.9371307292168629,-0.4175013870095641,1.558711408808981,0.34059063265777084,0.15728248390141497,0.17915138312470963,0.19576561717695307,0.2217864542454775,0.7091618125935306,0.8034224097648716,0.8779306146463216,0.9479560824393082,0.7959385652655402,1.1343394384926895,0.06847744078760738,-0.07083576209213233,13.0
trstprl,10,60,183,175,0.9510869565217392,22,0,35.0,11.0,198.60000000000008,0.4210524218244235,0.6154369509652224,0.5242481716100559,0.706625730320389,0.3422771791064918,0,0.6055949430347868,-0.6154369509652224,-0.4477490347981964,1.735489218064214,0.3730225692139144,0.1470844255939669,0.1790621560455111,0.1609819338792542,0.184794653874432,0.7959344196932815,0.9136703855495284,0.8214154729410459,183,175,0.9510869565217391,22,1,35.0,11.0,198.60000000000008,,0.9633254026215512,0.8721304410045627,1.0545203642385397,0.632986361473007,0,0.17128232244670094,-0.9633254026215512,-0.4477490347981964,1.735489218064214,0.35685642766989606,0.14199714387210974,0.16239619428413957,0.16219456802786666,0.18479465387443206,0.7684050425430423,0.8754741024848205,0.8743871400315069,0.941607857249371,0.7838050997759662,1.1002468404670447,0.08294869082974149,-0.07797822041092053,12.0
trstprl,10,80,153,147,0.9545454545454546,22,0,42.0,13.0,216.20000000000005,0.4210524218244235,0.6336700890687297,0.5486837822528912,0.7186563958845682,0.3526600253256994,0,0.6089231031793737,-0.6336700890687297,-0.4501822809948912,2.3552997487299763,0.3752769719387079,0.1405431161964479,0.1701818359621958,0.1548402480014469,0.1681042707447633,0.8360472674120094,0.907665274439076,0.8258408742732578,153,147,0.9545454545454546,22,1,42.0,13.0,216.20000000000005,,1.02874532692493,0.9437827696471115,1.1137078842027486,0.7438439754039422,0,0.1611038414642646,-1.02874532692493,-0.4501822809948912,2.3552997487299763,0.35252861135608454,0.12039917133085358,0.14880331959409335,0.15496354710790988,0.1681042707447633,0.7162172073168711,0.776951570726584,0.8091161652796404,0.9247711706826444,0.7680941040366847,1.060232587826413,0.09577269013705222,-0.0821415450257532,12.0
trstprl,10,100,133,128,0.9552238805970148,22,0,51.0,15.0,230.8,0.4172780342567642,0.6133395180087713,0.5401539518335063,0.6865250841840362,0.3745145286146755,0,0.5945860084249466,-0.6133395180087713,-0.4692860265119539,2.722058485071422,0.3757128064237459,0.1342152814518137,0.1571142397921693,0.1482052797552631,0.1634792565546798,0.8209927319245053,0.9056039142023032,0.8542528139356026,133,128,0.9552238805970149,22,1,51.0,15.0,230.8,,1.0474326771879883,0.974242978096264,1.1206223762797125,0.9116461645417423,0,0.1456191206780616,-1.0474326771879883,-0.46928602651195395,2.722058485071422,0.3496161544066578,0.11131340092272536,0.13003763418696115,0.14500207733245415,0.16347925655467985,0.6809022946926219,0.7676676291161751,0.8560091208879186,0.9217812382916503,0.7656233988647989,1.0516932111004489,0.10154789158546727,-0.0821415450257532,12.0
trstprl,10,150,77,75,0.9615384615384616,21,0,78.0,28.6,286.00000000000017,0.4056151753552831,0.6873372074508233,0.6045017628341526,0.770172652067494,0.2904945983757996,0,0.6530006144564604,-0.6873372074508233,-0.3886542393814192,4.4256946989648425,0.3200087976462788,0.1304993801094089,0.1609891016384534,0.1481908102438832,0.1567239705595838,0.8326702012682563,0.880617225148045,0.8106100275190193,77,75,0.9615384615384616,21,1,78.0,28.6,286.00000000000017,,1.2801733897785943,1.1973349295555054,1.3630118500016832,1.058357537702639,0,0.12298676966178668,-1.2801733897785943,-0.3886542393814192,4.4256946989648425,0.28522969047081453,0.09733656584759692,0.12233549832024698,0.14362190392090868,0.15672397055958387,0.6210700603108519,0.6777278617696039,0.795652669781845,0.890923086154022,0.7293725079137148,1.0422647047197608,0.13742105061985785,-0.0841086947656899,10.0
