nu_des,B,var_Dhat_over_D2,nu_eff
20.0,10,0.32000000000000006,6.249999999999999
20.0,25,0.18800000000000017,10.638297872340416
20.0,50,0.14400000000000013,13.888888888888877
20.0,100,0.12200000000000011,16.393442622950804
20.0,250,0.10880000000000001,18.38235294117647
20.0,1000,0.10220000000000007,19.569471624266132
20.0,10000,0.10021999999999998,19.95609658750749
20.0,-1,0.1,20.0
