route,level,t0_q,K,reps,A,mu,Dbar_over_A,nu_min,nu_max,m,nominal,mc_se,struct_R2,struct_gamma_ls,struct_gamma_ls_sd,struct_resid_sd,Cg_halfwidth,Cg_contains_gamma_ls,fallback_rate,pr_Dhat_zero,corr_Dhat_Y,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_contain,uncorrected_over_oracle,sep_bonf_cov,sep_bonf_w,sep_bonf_contain,sep_bonf_over_oracle,Cg_cert_cov,Cg_cert_w,Cg_cert_contain,Cg_cert_over_oracle,captured_sep_bonf,captured_Cg_cert,cert_over_sepbonf
small_sample,S1,0.5,60,2000,0.024084905230059392,0.4988948333333334,0.052470708840850484,12.0,28.0,58,0.9508196721311475,0.00670820393249937,0.632147422212143,1.4122469693213862,0.1481756100774512,0.23644045121907226,0.5063602366025707,0.9885,0.0,0.0,0.0009420283596830492,0.9495,0.3061527340356003,0.9545,0.31107796335714283,1.0,1.016297143036255,0.953,0.3098286672941512,1.0,1.0121154011846234,0.9505,0.30686371141104407,0.716,1.0023460725505744,0.25659355399463907,0.8560439369431035,0.9903616427789848
small_sample,S1,0.5,200,2000,0.024084905230059392,0.4988948333333334,0.052470708840850484,12.0,28.0,191,0.9502487562189055,0.00670820393249937,0.6651336812946917,1.4073298809371853,0.0723305107814258,0.24031423457188947,0.2799012452249054,0.991,0.0,0.0,-0.0030476173661387385,0.9495,0.3009154774711835,0.9575,0.3066111243809524,1.0,1.0190228797677803,0.955,0.30510680761597175,1.0,1.0139777379495833,0.949,0.3006305318153708,0.368,0.9990473243403512,0.26521440916333106,1.0500805173180157,0.985298539118634
small_sample,S1,0.15,60,2000,0.008909668775989582,0.14925939583333336,0.06733629968801214,12.0,28.0,58,0.9508196721311475,0.00670820393249937,0.19428975469642112,1.3939719651228453,1.8462859033171528,0.8433502267092173,0.4652677829287839,0.8995,0.0,0.001125,0.6993480848508267,0.946,0.18961753607902002,0.9555,0.20185785573214285,1.0,1.0628355295268186,0.9535,0.19837097795042416,0.9985,1.0443261686867982,0.9535,0.19806719859854507,0.941,1.0421799867515527,0.2945683911539332,0.32872393900094404,0.9979310244489122
small_sample,S1,0.15,200,2000,0.008909668775989582,0.14925939583333336,0.06733629968801214,12.0,28.0,191,0.9502487562189055,0.00670820393249937,0.20496568405690282,1.4140835222203627,1.1977393304559834,1.060255383652338,0.2672536730921632,0.767,0.0,0.0012725,0.6829382141672148,0.95,0.18284360401729804,0.9585,0.19492604272321426,1.0,1.0657676564867233,0.9575,0.19112422425682224,1.0,1.0448589419703025,0.956,0.1904337210330492,0.9885,1.0409170564080277,0.3179178890256145,0.3778544258105397,0.9962679297006478
small_sample,S2,0.5,60,2000,0.024604849312134257,0.49956317708333337,0.19559014388943757,4.0,16.0,58,0.9508196721311475,0.00670820393249937,0.7783263846358589,1.2000145148241501,0.08441017850165347,0.2183638975767139,0.7136225872841718,0.898,0.0,0.001625,0.0005574479516507194,0.948,0.31242284150598976,0.9655,0.3336478661979167,1.0,1.0688797924156175,0.9625,0.33064428997253215,1.0,1.0589621616097742,0.955,0.32129931889530905,0.944,1.028681575066662,0.14398462100467385,0.58359957164797,0.9716009072436366
small_sample,S2,0.5,200,2000,0.024604849312134257,0.49956317708333337,0.19559014388943757,4.0,16.0,191,0.9502487562189055,0.00670820393249937,0.7758312598209138,1.1943221990301867,0.04733096733889641,0.22233411257041172,0.49136490341946054,0.718,0.0,0.0017025,-0.0011643006639555618,0.9535,0.30747487352221015,0.9715,0.3296249158333333,1.0,1.072481697185049,0.9675,0.3264789062660782,1.0,1.0621517878373505,0.9585,0.3132954704860368,0.8845,1.019040025423415,0.14251748715714785,0.737312643565657,0.9595822914501679
small_sample,S2,0.15,60,2000,0.009198954771964842,0.14986567708333332,0.2617774542151923,4.0,16.0,58,0.9508196721311475,0.00670820393249937,0.25345807007369753,1.2197665450473627,5.17391267890809,2.7196622747102737,0.7342769151520756,0.23,0.0,0.03684166666666667,0.5830636771591841,0.9485,0.1839329738482635,0.965,0.22095405671874999,1.0,1.197326577093795,0.961,0.212527503638467,0.9995,1.1511123227650386,0.96,0.2067842324040987,0.9,1.1202222167215816,0.2342018749293436,0.39074493414824457,0.9729353252262791
small_sample,S2,0.15,200,2000,0.009198954771964842,0.14986567708333332,0.2617774542151923,4.0,16.0,191,0.9502487562189055,0.00670820393249937,0.2470744060273765,1.205527139120983,2.8226946051877086,4.063053363188904,0.49250180138003985,0.0525,0.0,0.038105,0.5766966329975803,0.9475,0.1752825712000664,0.9655,0.21177686401041665,1.0,1.207379163294513,0.96,0.20272717508804383,1.0,1.1554056701124022,0.9595,0.1971402760078016,0.963,1.1237066123657151,0.2506206137416985,0.40347617185613244,0.9725011991176216
low_signal,S1,0.5,60,2000,0.023993298592969607,0.5001894166666666,0.0527351447585471,12.0,28.0,58,0.9508196721311475,0.00670820393249937,0.6533714795412048,1.4107201718522837,0.13383615148041517,0.23281254444475946,0.49237674948084215,0.9885,0.0,0.0,-4.2896782533576055e-05,0.9575,0.303394767271817,0.963,0.30854176125000005,1.0,1.0171809789415418,0.961,0.30723599135987734,1.0,1.0127540640034094,0.959,0.30415467850582784,0.7325,1.002508189149362,0.25766371946528577,0.8540136066812021,0.9898986674429724
low_signal,S1,0.5,200,2000,0.023993298592969607,0.5001894166666666,0.0527351447585471,12.0,28.0,191,0.9502487562189055,0.00670820393249937,0.6701475457337092,1.4155074822192144,0.06845283991753354,0.23751348631191263,0.28287360406165596,0.992,0.0,0.0,-0.0017251834225346823,0.9465,0.29864278051634724,0.9525,0.30391128379761906,1.0,1.0177272297612907,0.951,0.30245161649246455,1.0,1.0127947504514871,0.9465,0.29833913805506707,0.3655,0.9989767682843198,0.2782430969882364,1.0577209033480532,0.9863776299661093
low_signal,S1,0.15,60,2000,0.00907452067469831,0.15060347916666667,0.06647086149384732,12.0,28.0,58,0.9508196721311475,0.00670820393249937,0.18337995011593328,1.5640583794904246,3.169658502539611,0.9306544923845251,0.4708046124173958,0.893,0.0,0.00125,0.7063991915907213,0.951,0.18965218864097177,0.958,0.20165117207738098,1.0,1.0614578316618781,0.957,0.1982287202773117,0.999,1.0433178803422296,0.955,0.19784471453711341,0.9325,1.0407333500964677,0.2951609392835219,0.33721465604953416,0.9975039444815088
low_signal,S1,0.15,200,2000,0.00907452067469831,0.15060347916666667,0.06647086149384732,12.0,28.0,191,0.9502487562189055,0.00670820393249937,0.17208145585226187,1.4226706178164836,1.3846409587996307,1.0858941863357066,0.2886577061315748,0.784,0.0,0.001295,0.7080066284288307,0.938,0.18221610197691876,0.947,0.1937919612827381,1.0,1.0631289175854657,0.944,0.19005811116786767,1.0,1.0424942053269253,0.943,0.18937011989821576,0.9805,1.0385299270135793,0.326866245260812,0.389662796587374,0.9962160856496038
low_signal,S2,0.5,60,2000,0.02463160876846862,0.5000007291666667,0.19480080832812166,4.0,16.0,58,0.9508196721311475,0.00670820393249937,0.7814202231860703,1.1972013157174046,0.08352259800851206,0.2184498345771004,0.7257959910316063,0.9135,0.0,0.0012916666666666667,-0.0003926557081172194,0.9575,0.31174825661638955,0.972,0.33247760854166664,1.0,1.0673769152903942,0.97,0.32954692791277296,1.0,1.0576847744612676,0.963,0.3208278249631254,0.951,1.0293984516990076,0.1438495779652946,0.5636717476260177,0.9734544838081172
low_signal,S2,0.5,200,2000,0.02463160876846862,0.5000007291666667,0.19480080832812166,4.0,16.0,191,0.9502487562189055,0.00670820393249937,0.7867188698587972,1.1968686079952788,0.04568965206087579,0.2222356332988716,0.47923515574193,0.712,0.0,0.0017625,-0.0007295716535424344,0.954,0.30660980103932794,0.9715,0.3291370382291666,1.0,1.0739197493688166,0.9675,0.32596254514288014,1.0,1.06347676849042,0.958,0.3125563868814357,0.885,1.0195262783392869,0.1412745709714485,0.7358449060499097,0.9588482028758774
