route,level,t0_q,K,reps,B,m_samp,n_unit,nu,tau,t0,mu,A,Dbar_over_A,m,nominal,oracle_scale_factor,mc_se,skew_std,kurt_std,vL_simultaneous_cov,pr_D_zero,pr_Dhat_zero,corr_within,corr_between,AU_piv_cov,AU_fit_cov,AU_pct_cov,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_over_oracle,uncorrected_contain,piv_cov,piv_w,piv_over_oracle,piv_contain,piv_over_uncorr,piv_fit_cov,piv_fit_w,piv_fit_over_oracle,piv_fit_contain,piv_fit_over_uncorr,pct_cov,pct_w,pct_over_oracle,pct_contain,pct_over_uncorr,pct_normal_cov,pct_normal_w,pct_normal_over_oracle,pct_normal_contain,pct_normal_over_uncorr
small_sample,S1,0.5,60,2000,500,3,4,8,0.45,0.0,0.500179765625,0.0246750431827268,0.20338523309859055,58,0.9508196721311475,0.9115860300539034,0.00670820393249937,-0.0027277267097445923,-0.4318032676137,1.0,0.0,0.0002,-0.015695996486584454,-0.04605092379267388,0.999,0.999,0.976,0.9605,0.3127376442448671,0.979,0.33452515744791667,1.0703105504039307,1.0,0.977,0.3314879190928175,1.0603707563659055,1.0,0.9907382824513101,0.977,0.3314967657320774,1.0603989690636373,1.0,0.9907646045185973,0.9765,0.3309556388066417,1.0586044692578611,1.0,0.9890942139500337,0.9915,0.3736129243268478,1.1986633478885107,0.9985,1.1199629576101775
small_sample,S1,0.5,200,2000,500,3,4,8,0.45,0.0,0.500179765625,0.0246750431827268,0.20338523309859055,191,0.9502487562189055,0.9115860300539034,0.00670820393249937,0.001962697872970063,-0.4091690219771791,0.999,0.0,0.0001725,-0.015695996486584454,-0.04605092379267388,1.0,1.0,0.9935,0.9515,0.30729748865831946,0.969,0.32935561453125,1.0719970498002558,1.0,0.967,0.32595140888298596,1.060842852619429,1.0,0.9896336967062191,0.967,0.32595344092194023,1.0608494205701204,1.0,0.9896398387497937,0.9665,0.32561223246308885,1.0597251111146675,1.0,0.9885957029290338,0.98,0.35121675178493095,1.144095680960725,1.0,1.067465554746735
small_sample,S1,0.15,60,2000,500,3,4,8,0.45,-1.2097890550808685,0.14973630208333333,0.009188164095244956,0.2739084313941282,58,0.9508196721311475,0.885994230862624,0.00670820393249937,0.8801119747825084,0.8027623412123499,0.834,0.000425,0.03609166666666667,0.5972973383790677,0.9390326112648915,0.9905,0.9845,0.8665,0.9385,0.18485472151942844,0.9715,0.22530892630208335,1.213378532329537,1.0,0.966,0.2162612525939582,1.1642887314387167,0.9995,0.9599586561085555,0.966,0.216296164880079,1.1644381566881061,0.9995,0.9600729945775047,0.964,0.21386406226367907,1.1510795877207378,0.999,0.9491866764890153,0.9725,0.22178393538056074,1.2149435982266414,0.95,1.0060227403733533
small_sample,S1,0.15,200,2000,500,3,4,8,0.45,-1.2097890550808685,0.14973630208333333,0.009188164095244956,0.2739084313941282,191,0.9502487562189055,0.885994230862624,0.00670820393249937,0.866169153381708,0.7331078670057138,0.7205,0.0003625,0.03537,0.5972973383790677,0.9390326112648915,0.9985,0.9945,0.82,0.9455,0.1750515299595902,0.9665,0.21436913057291668,1.2229231217020367,1.0,0.9615,0.20456249248804165,1.1668438046700325,1.0,0.9544772911048583,0.9615,0.2045609644535287,1.1668210184608112,1.0,0.9544565028935276,0.9605,0.2021832508485463,1.153247880577088,1.0,0.943437827651298,0.961,0.20218570977499883,1.1622450982482169,0.968,0.9523503074481021
small_sample,S2,0.5,60,2000,500,2,2,4,0.45,0.0,0.4993634895833333,0.025167814026377192,0.548456260199602,58,0.9508196721311475,0.8036196155576945,0.00670820393249937,-0.0038611206127009638,-0.3809338063069032,0.9995,0.0,0.027441666666666666,-0.02205799358540184,0.044501845227319065,1.0,0.9995,0.9935,0.956,0.31994661019208964,0.9865,0.38071023140625,1.191083663538765,1.0,0.986,0.37699916950913814,1.179106278717646,1.0,0.9900059327176526,0.986,0.37700886613114815,1.1791380158553582,1.0,0.9900318982365381,0.9855,0.37643452673582667,1.1772333195419606,1.0,0.9884492319589949,0.9975,0.4330475362717766,1.3578558695863268,1.0,1.1414418124911823
small_sample,S2,0.5,200,2000,500,2,2,4,0.45,0.0,0.4993634895833333,0.025167814026377192,0.548456260199602,191,0.9502487562189055,0.8036196155576945,0.00670820393249937,-0.0017396340180608162,-0.3747592581029897,0.9995,0.0,0.027805,-0.02205799358540184,0.044501845227319065,1.0,1.0,1.0,0.957,0.31563773160702524,0.987,0.37680525442708335,1.1944615741654565,1.0,0.985,0.3724448889117706,1.180508048045556,1.0,0.9883836459291172,0.985,0.3724461675146887,1.180512263671797,1.0,0.98838710802219,0.985,0.3721619418503211,1.179592244413649,1.0,0.9876250962144081,0.9955,0.40891205476463677,1.2965348400922323,1.0,1.0867219846896603
small_sample,S2,0.15,60,2000,500,2,2,4,0.45,-1.2097890550808685,0.14980588541666667,0.009436026955690669,0.754099790653959,58,0.9508196721311475,0.7550450272569939,0.00670820393249937,0.7148639279186141,0.321713693100961,0.7175,0.0022333333333333333,0.208725,0.6712135666460474,0.9490846687541177,1.0,0.999,1.0,0.9395,0.1788453875078303,0.9785,0.26678044989583327,1.48079165948606,1.0,0.9755,0.2513145335975604,1.3944471787936445,0.999,0.9426987837653652,0.9755,0.25134975799372333,1.3945599712183057,0.999,0.9427398872428451,0.975,0.24715916780524566,1.3734455000769747,0.999,0.929243458748422,0.984,0.2620471607249327,1.5037263980973214,0.9975,1.0359756274681515
small_sample,S2,0.15,200,2000,500,2,2,4,0.45,-1.2097890550808685,0.14980588541666667,0.009436026955690669,0.754099790653959,191,0.9502487562189055,0.7550450272569939,0.00670820393249937,0.6981764848168424,0.2353893170659278,0.445,0.0021325,0.20829,0.6712135666460474,0.9490846687541177,1.0,1.0,1.0,0.9315,0.16970049781174726,0.982,0.25435036458333327,1.4954313056353963,1.0,0.976,0.23862330166008827,1.4034560909315545,1.0,0.940011601325149,0.976,0.23859820035967935,1.4032659285492923,1.0,0.939878848821232,0.9735,0.2334512424255076,1.374322669199767,1.0,0.9211256638230121,0.9735,0.22831825962982907,1.3600826589325565,1.0,0.9167503204611264
low_signal,S1,0.5,60,2000,500,5,10,16,0.2381624989118427,0.0,0.4997648020833333,0.007946502243937862,0.20412791852159715,58,0.9508196721311475,0.9113048613873682,0.00670820393249937,-0.007519821175970727,-0.1438999024384331,1.0,0.0,0.0,0.003160351207831446,-0.053983905686969175,0.995,0.9935,0.9535,0.952,0.179965940057605,0.9695,0.19574835361458331,1.0880602284976035,1.0,0.965,0.1920722668878276,1.0672216584167302,1.0,0.9808832194900092,0.965,0.1920909705386639,1.0673273795123959,1.0,0.9809802649414523,0.9645,0.19142301560525934,1.0634660643669367,1.0,0.9774399927013331,0.9775,0.2101128755702718,1.1728380884252716,0.9835,1.077935594679393
low_signal,S1,0.5,200,2000,500,5,10,16,0.2381624989118427,0.0,0.4997648020833333,0.007946502243937862,0.20412791852159715,191,0.9502487562189055,0.9113048613873682,0.00670820393249937,0.005307546472806427,-0.1406491006898456,1.0,0.0,0.0,0.003160351207831446,-0.053983905686969175,0.9995,1.0,0.9795,0.9455,0.17639994970358347,0.966,0.19193908554166667,1.0882208099982567,1.0,0.9625,0.18794138963706342,1.065416742214104,1.0,0.9790797222077137,0.9625,0.18794249373627217,1.065423520149938,1.0,0.9790859037401294,0.962,0.18747668592756964,1.0627493436597601,1.0,0.9766327361993228,0.968,0.1962473873777742,1.1141635588025065,0.995,1.0238921381873038
low_signal,S1,0.15,60,2000,500,5,10,16,0.23165950083173809,-1.1418025556627067,0.1500457291666667,0.0027191116358152817,0.2722140454036719,58,0.9508196721311475,0.8865840359765205,0.00670820393249937,0.4572092282870137,0.1671422701712948,0.9895,0.0,8.333333333333334e-06,0.5574093444550882,0.9156061871963057,0.992,0.9915,0.9145,0.95,0.10229439148517475,0.9675,0.11747227218749998,1.1466069812435928,1.0,0.963,0.11330441594297092,1.105730693104394,1.0,0.9651786892430891,0.963,0.11332145989241181,1.1058917494190175,1.0,0.9653117812340052,0.9615,0.11237518266289934,1.0964723935263636,0.9995,0.9572910430083786,0.974,0.12129875084559769,1.1911135905227552,0.9795,1.0417628326661943
low_signal,S1,0.15,200,2000,500,5,10,16,0.23165950083173809,-1.1418025556627067,0.1500457291666667,0.0027191116358152817,0.2722140454036719,191,0.9502487562189055,0.8865840359765205,0.00670820393249937,0.4755950309039823,0.19484690086196865,0.9935,0.0,5e-06,0.5574093444550882,0.9156061871963057,0.9995,0.9985,0.928,0.953,0.09970180344823396,0.9755,0.113585458125,1.1391580829774879,1.0,0.967,0.10935293962163736,1.0965770903533472,1.0,0.9631455167434788,0.967,0.10935463314799596,1.0965912545995389,1.0,0.9631565723895649,0.9665,0.10859878683478055,1.0889665430091429,1.0,0.9565508171353084,0.973,0.11243125120228487,1.1293414138357667,0.994,0.9924645525555877
low_signal,S2,0.5,60,2000,500,5,10,16,0.13575850053690375,0.0,0.5001176145833333,0.003052915995797252,0.5438729737468418,58,0.9508196721311475,0.804811581937815,0.00670820393249937,0.00489971898335435,-0.03321644551702363,1.0,0.0,0.0,-0.005880445130824916,0.058331197327951965,0.9995,0.9995,0.9545,0.957,0.1121195823065369,0.9825,0.1385571744895833,1.2363112507743235,1.0,0.9765,0.1326537922858633,1.1825348990029727,1.0,0.9566346091474861,0.9765,0.13267310845987776,1.1827082908114157,1.0,0.9567743823748937,0.975,0.13093307285193737,1.166501190906064,1.0,0.9436988362338616,0.9795,0.13637383910882436,1.2196394597877598,0.991,0.9867723413072855
low_signal,S2,0.5,200,2000,500,5,10,16,0.13575850053690375,0.0,0.5001176145833333,0.003052915995797252,0.5438729737468418,191,0.9502487562189055,0.804811581937815,0.00670820393249937,-0.004440016009689451,-0.053926650328039116,1.0,0.0,0.0,-0.005880445130824916,0.058331197327951965,1.0,1.0,0.972,0.9465,0.1091058097753585,0.9855,0.13496352843749998,1.2372768551161708,1.0,0.982,0.1284172728479456,1.1769256206402507,1.0,0.9513587123138416,0.982,0.12841984111083773,1.1769491571566606,1.0,0.9513774265339378,0.979,0.12679676443562407,1.1618814480430704,1.0,0.9392232134393279,0.9765,0.1252065046867121,1.1486376193745398,0.998,0.9285629599591828
low_signal,S2,0.15,60,2000,500,5,10,16,0.12592550122179091,-1.1238767655853361,0.14994685416666667,0.0009862289357615308,0.7567912035022217,58,0.9508196721311475,0.7544664392063999,0.00670820393249937,0.19668425640365722,-0.021888656211777935,0.9955,0.0,0.0,0.5217193452046947,0.7764024076220236,1.0,1.0,0.958,0.9505,0.06290113211382022,0.9855,0.0835007843125,1.328692304907345,1.0,0.9805,0.07842310497327408,1.2464596006120128,1.0,0.9395836790634987,0.9805,0.07843518555671163,1.2466395023363908,1.0,0.9397039590809956,0.979,0.07666531471842056,1.2175784506726253,1.0,0.9183548062288962,0.98,0.07880963149540963,1.2563707834292368,0.988,0.9484602929078843
low_signal,S2,0.15,200,2000,500,5,10,16,0.12592550122179091,-1.1238767655853361,0.14994685416666667,0.0009862289357615308,0.7567912035022217,191,0.9502487562189055,0.7544664392063999,0.00670820393249937,0.1991239100857941,-0.01836343907223803,0.998,0.0,0.0,0.5217193452046947,0.7764024076220236,1.0,1.0,0.979,0.9395,0.06149457590058384,0.982,0.08152557602083332,1.326273264504943,1.0,0.974,0.07613579750219901,1.2381220826422024,1.0,0.9343752145605797,0.974,0.0761327488227753,1.2380661476815986,1.0,0.9343310214972965,0.971,0.07448963993827042,1.211111909705166,1.0,0.9141820106105024,0.9695,0.07218003099122366,1.1747849333239806,0.999,0.8869699146459376
