K,D_over_A,nu,pooled,nu_tot,reps,rho,kappa,eps,eta,err_kap_rate,err_s_rate,rse_kappa,rse_s,ci_kappa_cover,ci_union_cover,ci_gw_cover,cov_oracle,cov_plug,cov_safe,width_safe_over_oracle,width_plug_over_oracle,width_safe_over_anchor,width_oracle_over_anchor,cert_fixed_K,false_fixed_K,falses_fixed_K,cert_plug_frozen,false_plug_frozen,falses_plug_frozen,cert_plug_matched,false_plug_matched,falses_plug_matched,cert_ci_union,false_ci_union,falses_ci_union,cert_ci_gw,false_ci_gw,falses_ci_gw,cert_ci_kappa,false_ci_kappa,falses_ci_kappa,false_ci_kappa_star
100,0.25,40.0,False,40.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.01305,0.28355,0.034892862775162715,0.09376621555260144,0.9503,0.98485,0.94985,0.9475,0.94675,0.9572,1.045923807750566,0.9966310717128845,0.9355026933662746,0.8944271909999159,1.0,0.01305,0.28355,0.0,0.0,0.0,0.9267,0.0,0.2232,0.0,0.0,0.0,0.0,0.0,0.0,0.8029,0.0,0.1718,0.0
100,1.0,4.0,False,4.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.7809,0.77905,0.4026370087049309,0.41471862866022097,0.95075,0.9882,0.9505,0.95275,0.8318,0.9829,1.2799130780036012,0.9392591579900325,0.9050352167856931,0.7071067811865476,1.0,0.7809,0.77905,0.0068,0.0068,0.0068,0.3187,0.3187,0.31025,0.0,0.0,0.0,0.0,0.0,0.0,0.01175,0.01175,0.01175,0.01175
100,1.0,12.0,False,12.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.64525,0.68715,0.2772998247150947,0.29858307377061116,0.94735,0.9919,0.9484,0.9496,0.8857,0.9782,1.2246661543581026,0.9544618754238836,0.8659697424362653,0.7071067811865476,1.0,0.64525,0.68715,0.0,0.0,0.0,0.14495,0.14495,0.14155,0.0,0.0,0.0,0.0,0.0,0.0,0.00785,0.00785,0.00785,0.00785
100,1.0,40.0,False,40.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.44405,0.5759,0.15783480375157183,0.19709076954162247,0.95115,0.99305,0.952,0.9486,0.92615,0.97415,1.1724565788348336,0.9787586900542381,0.8290519975408908,0.7071067811865476,1.0,0.44405,0.5759,0.0,0.0,0.0,0.0264,0.0264,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,0.00775,0.00775,0.00775
100,4.0,4.0,False,4.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.94775,0.9457,0.7862871325598598,0.7987345442586227,0.95095,0.9813,0.95005,0.9488,0.678,0.986,1.8708323926111028,1.055442200089412,0.8366616808774001,0.44721359549995787,1.0,0.94775,0.9457,0.00295,0.00295,0.00295,0.16675,0.16675,0.16675,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0045,0.0045,0.0045
100,4.0,12.0,False,12.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.9084,0.907,0.6570457201136658,0.6758905205392229,0.9493,0.9891,0.9495,0.94975,0.69605,0.9889,1.7212378365953243,0.9360927716805246,0.7697609616143638,0.44721359549995787,1.0,0.9084,0.907,0.0,0.0,0.0,0.02685,0.02685,0.02685,0.0,0.0,0.0,0.0,0.0,0.0,0.00055,0.00055,0.00055,0.00055
100,4.0,40.0,False,40.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.84665,0.8548,0.5302213945003127,0.5570444617517124,0.9515,0.9945,0.95295,0.9506,0.73915,0.98865,1.565920534570446,0.8790414654827313,0.7003009525324652,0.44721359549995787,1.0,0.84665,0.8548,0.0,0.0,0.0,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.25,4.0,False,4.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.17705,0.2863,0.1019177592271689,0.11310373082844466,0.94925,0.99155,0.95005,0.94815,0.9418,0.9636,1.0770667623404382,0.9939321192425512,0.9633577987595321,0.8944271909999159,1.0,0.17705,0.2863,0.93085,0.1079,0.2173,0.9788,0.15585,0.2651,0.0027,0.0027,0.0014,0.0174,0.0174,0.011,0.0637,0.04105,0.03705,0.0023
300,0.25,12.0,False,12.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0547,0.163,0.054413265734861126,0.07363201601005177,0.94985,0.99445,0.9522,0.95,0.94825,0.96175,1.0596485144896808,0.9977451369457329,0.9477784442622389,0.8944271909999159,1.0,0.0547,0.163,0.9885,0.0432,0.1515,0.99935,0.05405,0.16235,0.00025,0.00025,0.00015,0.0181,0.0006,0.0097,0.2351,0.0006,0.0547,5e-05
300,0.25,40.0,False,40.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0048,0.08675,0.030401903116857473,0.05839191828053673,0.9509,0.99245,0.95035,0.9498,0.9481,0.9569,1.041855239749814,0.9984278048489635,0.9318636555179699,0.8944271909999159,1.0,0.0048,0.08675,1.0,0.0048,0.08675,1.0,0.0048,0.08675,0.0,0.0,0.0,0.03875,0.0,0.0111,0.90435,0.0,0.0507,0.0
