K,t0_q,sigma_a,reps,B,nu,t0,mu,A,m,nominal,mc_se,skew_std,kurt_std,ks_std_normal,chi2_ratio_mean,chi2_ratio_var,chi2_mean_expected,chi2_var_expected,ks_chi2,corr_Dhat_Y,deff,Dbar_over_A,AU_piv_cov,AU_piv_fit_cov,AU_pct_cov,AU_piv_mean,AU_pct_mean,oracle_cov,oracle_w,piv_cov,piv_w,piv_contain,piv_over_oracle,piv_fit_cov,piv_fit_w,piv_fit_contain,piv_fit_over_oracle,pct_cov,pct_w,pct_contain,pct_over_oracle,pct_normal_cov,pct_normal_w,pct_normal_contain,pct_normal_over_oracle
60,0.5,0.2,2000,1000,16,0.0,0.49957225,0.026523293396404485,58,0.9508196721311475,0.00670820393249937,0.00035091337899588085,-0.5073851301921848,0.015840033002157763,15.98127696617231,23.102227139456996,16.0,32.0,1.0571720176949908e-09,0.002725983860744137,0.8132561889404476,0.03832744589155184,0.99,0.99,0.9515,0.04035429830062766,0.035480895117935306,0.9495,0.31674533035045377,0.9515,0.31967787139644943,1.0,1.0093296552033721,0.9515,0.31968112734612464,1.0,1.0093401612600297,0.9515,0.31954433222016054,1.0,1.0088952154341482,0.985,0.3680869977124411,0.9895,1.1659410985194056
60,0.5,0.6,2000,1000,16,0.0,0.49995869375,0.021358139311052765,58,0.9508196721311475,0.00670820393249937,0.010215466139884085,-0.3909383956351329,0.11409243195812546,15.995614162714622,20.450737455995952,16.0,32.0,3.1950784003660657e-19,-0.005584000414929357,1.7120973009618883,0.10020166144812014,0.9945,0.993,0.9655,0.034210355581457554,0.02984978401205863,0.959,0.29053436836175944,0.9645,0.29825025688361484,1.0,1.0267532925071163,0.9645,0.29825370533817636,1.0,1.026765342538455,0.9645,0.2979271895807584,1.0,1.025596270722498,0.988,0.3374767739165712,0.986,1.1662093118458983
60,0.15,0.2,2000,1000,16,-1.155286223102548,0.14991002499999997,0.00978831314294009,58,0.9508196721311475,0.00670820393249937,1.0858651638335712,1.3667788528091531,4.649580654102593e-51,inf,,16.0,32.0,0.28817461778678155,0.7994502603181717,0.8039619100063439,0.05221962099115832,0.9525,0.9455,0.8515,0.01484576974399165,0.014078077363956304,0.949,0.20003715752030263,0.955,0.20728736740787598,1.0,1.0348693887428808,0.955,0.20729855369061118,1.0,1.0349154101263696,0.9545,0.2070944532689645,0.9995,1.0338080571333021,0.966,0.23003048771176882,0.889,1.1718469519494112
60,0.15,0.6,2000,1000,16,-1.2955417368672373,0.14987360625,0.007884868300523963,58,0.9508196721311475,0.00670820393249937,0.9201432385900284,0.9250740651154552,3.058815634420326e-35,inf,,16.0,32.0,1.1228368563075526e-17,0.8349799641395279,1.5514412276701308,0.12558802314419482,0.974,0.964,0.866,0.012629316363947865,0.011236992485308196,0.9515,0.17427119028179655,0.9545,0.18840860290801242,1.0,1.0777163881626197,0.9545,0.1884378957218085,1.0,1.0778695223297996,0.9545,0.18767353714156065,0.9995,1.073338983109439,0.969,0.20564420621906243,0.9345,1.1981946187249297
200,0.5,0.2,2000,1000,16,0.0,0.49957225,0.026523293396404485,191,0.9502487562189055,0.00670820393249937,0.0014859718272432205,-0.5039796578591957,0.004347334887442035,15.99560387647016,23.074782336704573,16.0,32.0,2.563298127432247e-09,-0.002059311107250389,0.8126177140679086,0.038297356300896916,0.994,0.9925,0.968,0.033326353050117885,0.03144100248276923,0.949,0.31202634805474283,0.95,0.31493356164287095,1.0,1.0093349580306217,0.95,0.3149342047196459,1.0,1.0093370375270214,0.95,0.3148692898821412,1.0,1.0091270306857,0.9715,0.3472049976815831,0.998,1.1139374270194458
200,0.5,0.6,2000,1000,16,0.0,0.49995869375,0.021358139311052765,191,0.9502487562189055,0.00670820393249937,0.0027445223926173402,-0.40352076147507177,0.005890283447928942,16.00145871184695,20.318264238589457,16.0,32.0,3.717932294994721e-15,-0.0005661492287498191,1.71211370919092,0.10020264896337977,0.998,0.9985,0.9835,0.02841372170591012,0.026424656514404853,0.9495,0.285414825219876,0.9615,0.2930086049280515,1.0,1.0266629924919948,0.9615,0.2930099537177023,1.0,1.026667660440896,0.9615,0.2928209473011276,1.0,1.0259981578893762,0.978,0.31826428552474956,0.997,1.1164083029761245
200,0.15,0.2,2000,1000,16,-1.155286223102548,0.14991002499999997,0.00978831314294009,191,0.9502487562189055,0.00670820393249937,1.0989781036618806,1.4028232560272524,6.228760375667208e-42,inf,,16.0,32.0,0.00011396114265726467,0.8007105233289025,0.8044881249932279,0.05238126448193736,0.9595,0.9525,0.9075,0.012448753652508636,0.012170776746091821,0.942,0.192456732256518,0.947,0.19925659097557538,1.0,1.034955353043741,0.947,0.19925882124718,1.0,1.0349645224336388,0.947,0.19917709377463985,1.0,1.0345247257805357,0.962,0.21555293339523957,0.9265,1.128658770066417
200,0.15,0.6,2000,1000,16,-1.2955417368672373,0.14987360625,0.007884868300523963,191,0.9502487562189055,0.00670820393249937,0.9204277736771674,0.9234405953567242,9.555436512514782e-41,inf,,16.0,32.0,8.744621566857161e-20,0.8340976249205737,1.5525445388552848,0.12537418456666657,0.978,0.9725,0.8655,0.010379554742707985,0.009449046183960735,0.9425,0.1657989876622843,0.9485,0.17852345143972245,1.0,1.075571597344959,0.9485,0.17852489348266015,1.0,1.075572673289258,0.9485,0.17792739531881327,1.0,1.0719514266360688,0.9605,0.1899598150448249,0.9725,1.1524353129710594
