K,Dbar_over_A,slog,two_point,reps,cv_D,kappa,nu_den,nu_num,nu_den_over_K1,K_I,K_I_eff,K_raw,rse_bound,rse_unweighted,rse_w_oracle,rse_w_feasible,eff_unweighted,eff_w_oracle,eff_w_feasible,nominal,cov_oracle_a,cov_oracle_b,cov_safe_a,cov_safe_b,cov_enlarge,cov_model_valid,cov_model_plug,contain_b_over_a,contain_a_over_a,w_oracle_a,w_oracle_b,w_safe_a,w_safe_b,w_enlarge,w_model_valid,w_model_plug,enl_share
30,1.0,0.0,False,20000,0.0,0.7071067811865476,29.0,299.9999999999999,1.0,7.5,7.317073170731709,30.0,0.5228129047119373,0.5324560743554411,0.5192479805515089,0.526626073700036,0.9818892672880534,1.0068655522870633,0.9927592476359789,0.967741935483871,0.96445,0.96445,0.98035,0.97875,1.0,0.9896,0.83945,0.9597,0.94825,2.2845340006181374,2.2845340006181374,2.7221008356139205,2.6870905304668025,4.804088273371714,2.9397561353037642,1.5753168127925123,0.65
30,1.0,0.5,False,20000,0.4109152406548759,0.7071067811865476,27.864327507247886,256.6622384012335,0.9608388795602719,8.395400012696133,8.226518506623323,30.0,0.4930681594867993,0.5445590069844394,0.48877158165722406,0.504939202936714,0.9054448703680859,1.0087905639174177,0.9764901529117307,0.967741935483871,0.96555,0.9669,0.98015,0.9793,1.0,0.9908,0.83825,0.9212,0.9542,2.280820681335059,2.3145755145825695,2.728377353039645,2.7347832359649167,4.7746178778004715,2.971716146891842,1.572963401764923,0.65
30,1.0,1.0,False,20000,1.2235404945762254,0.7071067811865476,21.30227067837179,120.14170272349915,0.7345610578748893,13.462877426437615,13.360164240608544,30.0,0.38690923804800376,0.6342877778000148,0.3877095043649848,0.42298573603515255,0.6099900574940492,0.9979359125634751,0.9147098946519779,0.967741935483871,0.96505,0.97075,0.9831,0.9858,0.9991,0.99575,0.81925,0.83485,0.9841,2.2923062296923664,2.5250848754221633,2.8049898335467724,3.0715552880390984,4.5913846157673595,3.223233163717203,1.5532251417691207,0.65
30,1.0,1.5,False,20000,1.6763759185614835,0.7071067811865475,17.279051332590903,78.73527588633137,0.595829356296238,16.296215921802666,16.214954786779,30.0,0.3512021183753667,0.6936271073094613,0.35059188717122564,0.3932764419257776,0.5063269798345382,1.001740574230239,0.8930159067133965,0.967741935483871,0.9653,0.9722,0.9834,0.98835,0.9982,0.99815,0.8109,0.84715,0.9941,2.2977283874614876,2.649568747936606,2.8411549721506475,3.287040443677253,4.386940673935438,3.4543985506510055,1.5346951874702366,0.65
30,4.0,0.0,False,20000,0.0,0.4472135954999579,29.0,299.9999999999999,1.0,1.2000000000000004,1.1278195488721807,30.0,1.3316656236958784,1.347298022179496,1.3149819646345589,1.7829800121270305,0.9883972230150466,1.0126873672111207,0.746876361281947,0.967741935483871,0.96305,0.96305,0.98425,0.982,1.0,0.98675,0.6593,0.9647,0.97015,2.2797838969233903,2.2797838969233912,3.758537245052915,3.6394563799380792,8.477392539227106,4.025228202573409,1.4339446531018185,0.65
30,4.0,0.5,False,20000,0.42836733436595725,0.4472135954999579,26.046591026984583,253.48573019489558,0.8981583112753304,1.6191862802918773,1.535080940714551,30.0,1.141430197599062,1.4385485418301092,1.1426606808095563,1.5759354031283277,0.7934596326843056,0.9989231420743185,0.7242874265869359,0.967741935483871,0.96325,0.96575,0.98485,0.98265,1.0,0.9879,0.6422,0.9623,0.97405,2.2798184132134853,2.365047627756236,3.8074917384858127,3.8396148675972603,8.437195618922848,4.141180957578465,1.407823631080562,0.65
30,4.0,1.0,False,20000,0.9080081777104189,0.4472135954999579,19.212027704384987,164.43051662137108,0.6624837139443099,2.8005675845789795,2.696899221327554,30.0,0.8611576003084973,1.6726752832797804,0.8662850614000697,1.257039727181366,0.5148384799588478,0.9940810925640511,0.6850679272002429,0.967741935483871,0.9663,0.972,0.9919,0.9904,1.0,0.9941,0.6174,0.9668,0.986,2.29917003858934,2.5809791726469458,3.9871951287627816,4.419968796595061,8.32301521998345,4.589556748917509,1.4042349887703989,0.65
30,4.0,1.5,False,20000,1.8334589816340556,0.447213595499958,9.424091913794417,68.7825424384925,0.3249686866825661,7.560971975667015,7.445354824924267,30.0,0.5182893655363423,2.4034251822534354,0.5515413386212084,0.8842175587730665,0.2156461409172711,0.9397108235477104,0.5861559300581145,0.967741935483871,0.9674,0.97205,0.9961,0.9958,1.0,0.9989,0.5387,0.9756,0.99725,2.328427241796226,3.0498354991661323,4.370682954200961,5.774657034706056,7.777135585461958,6.006753898321963,1.3696857993317983,0.65
100,1.0,0.0,False,20000,0.0,0.7071067811865476,99.0,1000.0000000000002,1.0,25.0,24.390243902439025,100.0,0.2863564212655271,0.28771840656611786,0.28561037916219145,0.32484439300628903,0.9952662559311172,1.0026120973107633,0.8815187438374015,0.9504950495049505,0.9502,0.9502,0.9676,0.96615,1.0,0.9812,0.88675,0.95725,0.94355,1.989002151737047,1.989002151737047,2.2334937689314125,2.2016293016333766,4.746641461985292,2.4564222979904056,1.6270409217959143,0.6
100,1.0,0.5,False,20000,0.5089401920135962,0.7071067811865476,93.0362867029485,794.2684829826769,0.9397604717469545,29.19632352502712,28.649477378976847,100.0,0.2642144987591945,0.29688963974116567,0.26292252959256074,0.29879947636239323,0.8899417944982586,1.0049138777442765,0.8842535535060544,0.9504950495049505,0.94815,0.94765,0.9668,0.96575,1.0,0.9803,0.8873,0.9038,0.94735,1.9884433237534496,2.002168562358139,2.233357555535216,2.224513320957801,4.698991085833653,2.4757747725136126,1.6244120963688997,0.6
