K,rho2,nu,sig_mis,alpha1,alpha2,obs_ratio,predicted,err_pct,conformal_cov,gaussian_cov,w_conformal,w_gaussian
120,0.45,20,0.0,0.005,0.045000000000000005,0.6304432213561987,0.6224916311509407,1.277381061421834,0.9649,0.9993,2.192058838665551,3.464665708983644
120,0.45,20,0.0,0.01,0.04,0.6843858112757427,0.6757538594532595,1.2773810614218561,0.9649,0.9981,2.192058838665551,3.1915843001221287
120,0.45,20,0.0,0.02,0.030000000000000002,0.7509033945740855,0.741432476535589,1.277381061421834,0.9649,0.9942,2.192058838665551,2.9088628794026605
120,0.45,20,0.0,0.025,0.025,0.7750295304887331,0.765254316774542,1.277381061421834,0.9649,0.9928,2.192058838665551,2.8183119798243093
120,0.45,20,0.0,0.035,0.015,0.8117594345123958,0.8015209575967285,1.2773810614218117,0.9649,0.9902,2.192058838665551,2.690791036886497
120,0.45,20,0.0,0.045,0.0050000000000000044,0.8292230287168031,0.8187642887545671,1.277381061421834,0.9649,0.9883,2.192058838665551,2.6341224674791097
