K,Dbar_over_A,sigma_e,reps,cv_D,K_raw,K_known,K_eff,K_eff_eval,rse_ideal,rse_bound,rse_bound_eval,unweighted_bias,unweighted_sd,unweighted_rmse,unweighted_rmse_trunc,unweighted_at_zero,unweighted_eff,plugin_bias,plugin_sd,plugin_rmse,plugin_rmse_trunc,plugin_at_zero,plugin_eff,gvf_all_bias,gvf_all_sd,gvf_all_rmse,gvf_all_rmse_trunc,gvf_all_at_zero,gvf_all_eff,gvf_cv_bias,gvf_cv_sd,gvf_cv_rmse,gvf_cv_rmse_trunc,gvf_cv_at_zero,gvf_cv_eff,oracle_bias,oracle_sd,oracle_rmse,oracle_rmse_trunc,oracle_at_zero,oracle_eff,gvf_split_bias,gvf_split_sd,gvf_split_rmse,gvf_split_rmse_trunc,gvf_split_at_zero,gvf_split_eff,unweighted_eval_bias,unweighted_eval_sd,unweighted_eval_rmse,unweighted_eval_rmse_trunc,unweighted_eval_at_zero,unweighted_eval_eff,plugin_maxshare,gvf_all_maxshare,oracle_maxshare,nominal,cov_oracle,cov_guard,cov_exp12,contain_guard,contain_exp12,sU_covers_A,vL_covers_all,w_oracle_band,w_guard,w_exp12,guard_over_oracle,exp12_over_oracle,mc_se
60,1.0,0.0,20000,0.9638848494334895,60.0,20.772614985307033,20.4799809097884,10.554217445309808,0.310291166445698,0.3125001456468578,0.435313342915238,-0.001517227751931527,0.41203862594029456,0.4120311183094717,0.41185563161475175,0.0011,0.7584382143975413,0.12093997254068034,0.32112328231624715,0.3431347889613911,0.3431347889613911,0.0,0.9107212550285005,0.015517561632399257,0.3118386930425218,0.3122167564833117,0.3122167564833117,0.0,1.000907668014805,0.10294711459583428,0.37797618789395643,0.3917358341006405,0.39173382704804577,0.0001,0.7977318346796266,-0.0007440028979168734,0.310083317627064,0.310076458035313,0.310076458035313,0.0,1.0078164193015544,0.0020796281342820855,0.43927424472725896,0.43926818555499403,0.43902424005872936,0.00135,0.9909967469308999,-0.0003936453762224401,0.6075882567539853,0.6075731943787034,0.6023591463863797,0.02265,0.7164788488741408,0.037275676172990393,0.03583456981449086,0.03527736292944506,0.9508196721311475,0.9497,0.9844,0.96845,0.9999,0.93965,0.9662,0.97525,2.024344422717343,2.6259333289891953,2.303546780628616,1.2977195859225492,1.1355496287793383,0.0015411035007422442
60,1.0,0.3,20000,0.9396558437592812,60.0,21.16424886910427,20.87989885154866,9.248013743975367,0.30740686927796484,0.309492979930468,0.46504048681635873,-8.800880873238714e-05,0.4090386786553695,0.4090284620288046,0.4087464926558647,0.0013,0.7566538973727283,0.12138378684870688,0.32506715404101144,0.34698327757014913,0.34698327757014913,0.0,0.8919535895152706,0.019639812178167126,0.31932808097822873,0.3199235017976435,0.3199235017976435,0.0,0.9673968251517421,0.10705838021570324,0.39154248576709494,0.4059055920521148,0.4059055920521148,0.0,0.7624752799432528,0.0011889738165626884,0.3117528563836068,0.3117473297879247,0.3117473297879247,0.0,0.9927686634589933,-0.0006786003432225352,0.49254471801867017,0.4925328717269079,0.4917047236673863,0.00435,0.9441816242352394,0.0008515365011907416,0.5923430371339542,0.5923288404609451,0.5856822058670468,0.02455,0.7851052575026877,0.03937446258846547,0.0393066431716344,0.041127457691864606,0.9508196721311475,0.95085,0.9857,0.9703,0.99985,0.94125,0.96335,0.9766,2.027601729704723,2.6346859571614143,2.307997026347828,1.3000467380181147,1.1360402197841037,0.0015411035007422442
60,1.0,0.6,20000,1.3372956037384223,60.0,24.632097712444875,24.382408773361238,12.762859001897306,0.28494713747185324,0.28640242696020474,0.3958594456400641,-0.0016620766650466967,0.44892473320859244,0.4489165868114499,0.4483961986055721,0.0027,0.6379858427474345,0.09183276353400549,0.30073804141088734,0.31443934843061794,0.31443934843061794,0.0,0.9108352004596535,0.020553708029099393,0.3281406684980619,0.3287755608636145,0.3287755608636145,0.0,0.8711183587000637,0.10889707550007421,0.41027562137621437,0.4244717213712038,0.4244717213712038,0.0,0.674726754552734,-0.003080922145518361,0.28506081785424325,0.28507034039602047,0.28507034039602047,0.0,1.0046728346496296,0.0006386416188877142,0.46544005605246386,0.46542885806420425,0.4651038348530426,0.0021,0.8505262163728075,-0.003999285301776068,0.6221544651757182,0.6221517652567434,0.6172504085908478,0.02105,0.6362747286857006,0.03615091434241681,0.041214852354417825,0.036938523761661624,0.9508196721311475,0.95465,0.9866,0.9723,0.99995,0.95035,0.97425,0.97565,2.023489763266191,2.614960968104095,2.2981257762041882,1.2937837898237345,1.1341193154030973,0.0015411035007422442
60,4.0,0.0,20000,0.9188257769272387,60.0,5.76270214132021,5.555658540341832,2.334315958469374,0.5891174832768481,0.5999944388988566,0.9256252183007477,-0.013251497395293299,1.166135043215195,1.1661811813139378,1.0356919521293895,0.19845,0.5144950446060552,0.581757210326654,0.7882923117623433,0.9797015618606671,0.9794418892133614,0.0029,0.6124257245842665,0.07517982526840572,0.637480421216353,0.6418823681152139,0.6343055573295856,0.02835,0.9347420473016659,0.14793964711761887,0.7589359291687118,0.7732018394864515,0.765072846993994,0.0342,0.7759868229198258,0.0009027241600063629,0.6014652962296486,0.6014509368638472,0.5915461188613055,0.0333,0.9975783594708735,0.0017401499757427885,0.9584561479161905,0.9584337659384223,0.895145969568284,0.1354,0.965768581196061,-0.019803792492040007,1.5708761657568147,1.5709617231949007,1.3495111365119845,0.28375,0.5892092752064529,0.08136755357293415,0.07942887985985489,0.07495419859621044,0.9508196721311475,0.95065,0.9973,0.98925,0.99975,0.992,0.9912,0.97445,2.0224836059269724,3.811276303852429,3.0569984024163612,1.882492954056079,1.504772312871216,0.0015411035007422442
60,4.0,0.3,20000,1.3707235564830265,60.0,7.165088403465099,6.938690009438043,3.4480738411820946,0.5283287220065185,0.5368787999590617,0.7615996204726191,0.014620206540843617,1.4171428778162722,1.4171828646606888,1.264895408392403,0.2373,0.37883523245082756,0.47505357058691144,0.7321658105167308,0.8727633503294524,0.8726671306602262,0.0013,0.6151481953915683,0.07586508323195051,0.5989086031372866,0.6036796262835952,0.5998225927511198,0.01705,0.8893439112136743,0.13078523776089157,0.7189616317418118,0.7307426092966153,0.7250537795933625,0.02515,0.7347030173535941,0.005249283902950319,0.5323451317543479,0.5323577037266228,0.5285173758018553,0.015,1.0084925909793174,0.007639124677288001,0.8219527811127112,0.8219677306841411,0.7894920471932853,0.08895,0.9265565934549811,0.02079755409588402,2.5385071688417247,2.5385289014673216,2.1708443277191414,0.3871,0.30001613140287625,0.07850437499524274,0.06550335223067223,0.06736574817494996,0.9508196721311475,0.9489,0.9991,0.99205,0.99985,0.9972,0.9974,0.9763,2.0262221941668237,3.8191788982754917,3.104848185423442,1.885975808082565,1.5285883771560471,0.0015411035007422442
60,4.0,0.6,20000,0.9142536149979694,60.0,6.485503901682489,6.27060339920828,3.930454925552198,0.5553197703173991,0.5647553205052073,0.7133350893869851,0.0005852820325293884,1.166831328624258,1.1668023042686522,1.0400509313398167,0.19895,0.4840197164841854,0.5144516230938279,0.7355439825086539,0.8975847433312659,0.8973664730093502,0.00245,0.6291944294966437,0.07289221024297676,0.7594442822863542,0.7629154962580371,0.7436248372819715,0.05675,0.7402593383870563,0.17654090465672678,0.9399903851583458,0.9564018172875568,0.9309548349565588,0.07355,0.5905000495575229,-0.006708122534791583,0.5624968652283951,0.5625228014610105,0.55594708532612,0.02275,1.0039687618677826,-0.00800799236169114,0.8759784773488919,0.8759931813693012,0.8333476199146761,0.1087,0.8143158012622216,0.00023551581704817082,1.3162242939206603,1.3161914089732716,1.1685977811122619,0.2282,0.5419691121851647,0.07617721616159431,0.060541121332456746,0.07248906134095302,0.9508196721311475,0.94915,0.9981,0.9901,0.9998,0.992,0.992,0.9757,2.023465568624464,3.8330220396879655,3.0576335462907758,1.8928011671673768,1.5046899847567399,0.0015411035007422442
200,1.0,0.0,20000,0.8079219352324486,200.0,68.49510003503909,67.53801687502528,33.89647954754233,0.17087764329107974,0.17208413997696972,0.24290569676033247,-0.0020692809101899856,0.22012293758339993,0.22012716067865895,0.22012716067865895,0.0,0.7817487830508008,0.11224885244489857,0.17874166634566954,0.21106110663516114,0.21106110663516114,0.0,0.8153285213008631,0.004288071235454938,0.17187734134964852,0.17192652771844272,0.17192652771844272,0.0,1.0009167419398193,0.03404829342216842,0.1849242311396952,0.18802805029837,0.18802805029837,0.0,0.915204618161493,-0.0015300809087668288,0.17170824847087027,0.1717107729712724,0.1717107729712724,0.0,1.0021743947641526,-0.002104703184656498,0.24386710638613585,0.24387009204566998,0.24387009204566998,0.0,0.9960454548680086,-0.0023848208309135144,0.3182276978721786,0.31822867818604517,0.3182036853515793,0.00015,0.7633054888231134,0.01235328392923491,0.013031047389544338,0.01293095854633071,0.9502487562189055,0.95005,0.9866,0.965,1.0,0.95655,0.96855,0.97505,1.9780107508867557,2.539859666494687,2.16877566581219,1.284159258368097,1.095558702162953,0.0015411035007422442
200,1.0,0.3,20000,0.9174057518875136,200.0,72.5114122415852,71.60469796519162,36.90371859871054,0.16607788904257056,0.1671260847974329,0.23279836875374643,0.0011149146094846518,0.22559264622633632,0.2255897614340815,0.2255897614340815,0.0,0.7408407355679926,0.10527118917935296,0.1725404936024227,0.20211570125229297,0.20211570125229297,0.0,0.8268832345133645,0.006316375866705526,0.17172452598564758,0.17183636100500846,0.17183636100500846,0.0,0.9725885942880375,0.036769397363801914,0.1839904722813336,0.1876240652158215,0.1876240652158215,0.0,0.8907497266152397,0.0004460336288718558,0.16603012358625222,0.16602657192138662,0.16602657192138662,0.0,1.0066225114650136,0.0005549664296919943,0.24188894206104028,0.2418835314074375,0.2418835314074375,0.0,0.9624399288334033,0.0009727997451998149,0.3031485415121244,0.3031425235897488,0.30312686943873857,5e-05,0.7679502235351149,0.01206281159635508,0.013005407301857593,0.012450231618595875,0.9502487562189055,0.95035,0.988,0.96685,1.0,0.96015,0.9705,0.9769,1.979733554240234,2.5382250300372116,2.1697217608788897,1.2823386093372653,1.0951908743919405,0.0015411035007422442
200,1.0,0.6,20000,1.1306134693652239,200.0,77.64301677325174,76.7924456592774,41.429144200111274,0.16049584630756958,0.1613822433734485,0.21971616836113822,0.002513765382401889,0.23524051463064524,0.23524806446621915,0.23524806446621915,0.0,0.6860088041090874,0.09460417251644349,0.16817951135840822,0.19295824232427053,0.19295824232427053,0.0,0.8363583821531818,0.008327558442749128,0.17698978763481127,0.17718116967495912,0.17718116967495912,0.0,0.9108317981504811,0.0393948323769604,0.1912002961205068,0.19521188021459265,0.19521188021459265,0.0,0.8267029813761545,0.0011155341188100465,0.16134115303706492,0.16134097598352587,0.16134097598352587,0.0,1.0002557774903187,0.0019126223353067573,0.24071392596278288,0.2407155065983619,0.2407155065983619,0.0,0.9127628355398746,0.00260180807076571,0.3368931150277324,0.33689473951039717,0.3368935638703412,5e-05,0.652180466458003,0.011468325051159654,0.01297393670388906,0.011870799462406762,0.9502487562189055,0.9501,0.9859,0.96695,1.0,0.9607,0.97455,0.97585,1.979659509011027,2.530005431676267,2.1693177093121436,1.2783272111217892,1.0950671439244049,0.0015411035007422442
200,4.0,0.0,20000,0.8997163860178174,200.0,19.91636509117967,19.233730606826423,10.534436920517384,0.316891038981728,0.3224654824071818,0.4357218454358103,-0.0006987007160805803,0.6446039864485301,0.6445882498254683,0.6252216660404121,0.04895,0.5002658402390892,0.5110400112133215,0.40435717160524814,0.65165822334518,0.65165822334518,0.0,0.49483835368770224,0.029988238365351805,0.3335101025348227,0.33484731070089313,0.3348329482571212,0.00015,0.9630224645740949,0.06465389480459738,0.392109949996359,0.3973948307274603,0.3973241560602267,0.00045,0.8114486084705359,-0.0010246251951757657,0.3198798334644649,0.31987347742295164,0.3198458214880875,0.0002,1.0081032194513673,0.0012642444884309878,0.4683643038985625,0.46835430095650155,0.4674638807365541,0.0043,0.9303252784183954,-0.0013303317308270834,0.9164469268520931,0.9164249809835352,0.8465583174814397,0.1304,0.47545828024917036,0.029527006276492834,0.032896940973115255,0.032033434988934205,0.9502487562189055,0.9488,0.999,0.98795,1.0,0.99075,0.9829,0.9749,1.9790175706492683,3.5452481859961322,2.7033671050889176,1.7893572973261072,1.362462172880332,0.0015411035007422442
