experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,matched,250,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,9543175201399538483,3618,0.9045,0.00464703535,0.876,2.38944218
exp01,matched,250,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,6648429013263570279,3774,0.9435,0.00365060783,0.9015,2.60558079
exp01,matched,250,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,6648429013263570279,3998,0.9995,0.000353464991,0.9985,4.11754201
exp01,matched,250,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,6648429013263570279,3620,0.905,0.00463613524,0.849,2.38805424
exp01,matched,250,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,6648429013263570279,3624,0.906,0.00461421716,0.84875,2.38885775
exp01,matched,250,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,2494476545354682689,3862,0.9655,0.00288572998,0.89675,2.79801094
exp01,matched,250,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,2494476545354682689,4000,1,0,0.99975,4.80300448
exp01,matched,250,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,2494476545354682689,3587,0.89675,0.00481117027,0.7765,2.38996654
exp01,matched,250,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,2494476545354682689,3591,0.89775,0.00479048373,0.779,2.38958978
exp01,matched,250,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,1050874256903665464,3998,0.9995,0.000353464991,0.90075,3.98134264
exp01,matched,250,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,1050874256903665464,4000,1,0,1,8.11810666
exp01,matched,250,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,1050874256903665464,3621,0.90525,0.00463067051,0.40575,2.38880558
exp01,matched,250,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,1050874256903665464,3620,0.905,0.00463613524,0.404,2.38944123
exp01,noise_more_correlated,30,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,12726893465088744897,3731,0.93275,0.00396003275,0.90775,2.65597093
exp01,noise_more_correlated,30,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,12726893465088744897,3997,0.99925,0.000432850292,0.999,3.99355882
exp01,noise_more_correlated,30,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,12726893465088744897,3625,0.90625,0.00460871288,0.876,2.54183495
exp01,noise_more_correlated,30,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,12726893465088744897,3637,0.90925,0.00454187289,0.877,2.54626687
exp01,noise_more_correlated,30,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,16867004055598861962,3802,0.9505,0.00342964102,0.905,2.7694499
exp01,noise_more_correlated,30,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16867004055598861962,3999,0.99975,0.000249968748,0.99875,4.4798221
exp01,noise_more_correlated,30,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16867004055598861962,3629,0.90725,0.00458659562,0.83975,2.53824276
exp01,noise_more_correlated,30,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16867004055598861962,3641,0.91025,0.00451926259,0.83975,2.54016212
exp01,noise_more_correlated,30,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,8379427676025208429,3873,0.96825,0.00277227062,0.89625,2.95822752
exp01,noise_more_correlated,30,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,8379427676025208429,4000,1,0,0.99975,5.19808012
exp01,noise_more_correlated,30,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,8379427676025208429,3587,0.89675,0.00481117027,0.776,2.52681814
exp01,noise_more_correlated,30,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,8379427676025208429,3613,0.90325,0.00467411589,0.7855,2.54501974
exp01,noise_more_correlated,30,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,2876015946507721622,3997,0.99925,0.000432850292,0.907,4.06388348
exp01,noise_more_correlated,30,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,2876015946507721622,4000,1,0,1,8.61050315
exp01,noise_more_correlated,30,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,2876015946507721622,3503,0.87575,0.00521564803,0.43775,2.43833009
exp01,noise_more_correlated,30,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,2876015946507721622,3653,0.91325,0.00445040553,0.47975,2.5436613
exp01,noise_more_correlated,100,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,5571351932227647232,3701,0.92525,0.00415819785,0.90025,2.6122765
exp01,noise_more_correlated,100,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,5571351932227647232,3995,0.99875,0.0005586675,0.99775,3.7117508
exp01,noise_more_correlated,100,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,5571351932227647232,3598,0.8995,0.00475393916,0.86625,2.50001822
exp01,noise_more_correlated,100,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,5571351932227647232,3595,0.89875,0.00476965506,0.864,2.5011602
exp01,noise_more_correlated,100,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,11570712264005248585,3785,0.94625,0.00356584273,0.90575,2.72005811
exp01,noise_more_correlated,100,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,11570712264005248585,4000,1,0,0.9975,4.19884765
