block,K,p,reps,df_nominal,Q_mean,Q_var,Q_mean_expected,Q_var_expected,ks_p,AU_cov,AU_mean,guarantee
unknown_mean,60,1,20000,59,59.044565117930354,117.39971211420995,59.0,118.0,0.10274256333307819,1.0,5.794311225981698,0.95
unknown_mean,60,3,20000,57,56.95509092815784,114.35072921638414,57.0,114.0,0.5478496784156598,1.0,5.714369705021381,0.95
unknown_mean,200,1,20000,199,198.92362981917378,398.9733632559882,199.0,398.0,0.5609611407019881,1.0,4.430680682302733,0.95
unknown_mean,200,3,20000,197,197.00456710760045,397.68588584641196,197.0,394.0,0.2099617562762437,1.0,4.570028713651447,0.95
