block,K,Dbar_over_A,sigma_e,heavy,reps,nu,cv_D,max_leverage,nominal,eta1,eta2,unw_bias,unw_rmse,gvf_bias,gvf_rmse,ED_prob,cov_oracle,mc_se,chi2_pivot_AU_cov,chi2_pivot_contain,chi2_pivot_cov,chi2_pivot_width,chi2_pivot_over_oracle,normal_unw_AU_cov,normal_unw_contain,normal_unw_cov,normal_unw_width,normal_unw_over_oracle,normal_gvf_AU_cov,normal_gvf_contain,normal_gvf_cov,normal_gvf_width,normal_gvf_over_oracle,gw_AU_cov,gw_contain,gw_cov,gw_width,gw_over_oracle,boot_gvf_AU_cov,boot_gvf_contain,boot_gvf_cov,boot_gvf_width,boot_gvf_over_oracle
main,60,1.0,0.0,False,20000,10.0,1.0760835295412305,6.3450175717009385,0.9508196721311475,0.025,0.025,-0.002256471918393399,0.42284209209444407,0.01714060914302884,0.30559420792060843,0.9762,0.9499,0.0015411035007422442,0.99975,1.0,0.98885,2.6926529863359763,1.331886813734358,0.9678,0.99995,0.98635,2.628915012621761,1.2990918426450224,0.9397,0.99985,0.9853,2.589110605266376,1.2790715385343376,0.96535,0.9995,0.98635,2.6393855870399436,1.3041521981068902,,,,,
main,60,1.0,0.6,False,20000,10.0,0.9019145179085248,4.340633150312538,0.9508196721311475,0.025,0.025,0.003852399651692373,0.41160103445616436,0.02248408425459414,0.3375668282830897,0.9752,0.9518,0.0015411035007422442,1.0,1.0,0.98875,2.708905620651348,1.3382452828638725,0.9619,0.9999,0.98645,2.6400966508796118,1.302876385055813,0.93505,0.9998,0.9858,2.6118003671276173,1.2885877990198535,0.96665,0.99975,0.98675,2.6547616177428375,1.3101345408458096,,,,,
main,60,4.0,0.0,False,20000,10.0,0.8779933836712343,5.497398478502103,0.9508196721311475,0.025,0.025,-0.01682303624797621,1.1536135416105104,0.08126737930693495,0.6271687325056662,0.9752,0.94965,0.0015411035007422442,1.0,1.0,0.9994,4.105100814027632,2.032319388789853,0.9898,0.99985,0.99815,3.823427695317939,1.8875936432838007,0.9298,0.99835,0.99665,3.5354227245940253,1.7423281803038237,0.9555,0.9904,0.99195,3.788790841907379,1.8659604169416282,,,,,
main,60,4.0,0.6,False,20000,10.0,0.957814067729807,4.886836601204364,0.9508196721311475,0.025,0.025,-0.019647832535594323,1.181348514375144,0.0715469475600965,0.7967294367741156,0.9753,0.95065,0.0015411035007422442,1.0,1.0,0.9996,4.083974967371637,2.024009763143874,0.99195,0.9999,0.9987,3.819050799950701,1.8879004758129285,0.8998,0.9941,0.9955,3.5275400676987627,1.7387384363005127,0.94965,0.989,0.99185,3.7676316160346963,1.8576671793549373,,,,,
main,200,1.0,0.0,False,20000,10.0,0.850069097462962,9.238373259299436,0.9502487562189055,0.025,0.025,-0.0006417328311086878,0.22188110683002557,0.004323027841495186,0.1722388309547209,0.9746,0.95055,0.0015411035007422442,1.0,1.0,0.9887,2.6140106198747444,1.3213435978590278,0.96835,1.0,0.98645,2.539368637273308,1.2830896402523628,0.95565,1.0,0.98605,2.521301113286788,1.2739746848373013,0.9662,1.0,0.98645,2.541264499280097,1.2840178434347322,,,,,
main,200,1.0,0.6,False,20000,10.0,1.1537053910490802,7.674831811274441,0.9502487562189055,0.025,0.025,-0.0005734424697526608,0.2341772910930194,0.006324549631401499,0.17597397644386573,0.97535,0.9503,0.0015411035007422442,1.0,1.0,0.98945,2.5951263127436595,1.3121324392891467,0.9747,1.0,0.9869,2.525481368998067,1.2764511010598452,0.95175,1.0,0.9855,2.500751075006132,1.2639181749995558,0.9604,1.0,0.9868,2.522599698456431,1.2749167816069484,,,,,
main,200,4.0,0.0,False,20000,10.0,0.8795003272771389,8.560469151590334,0.9502487562189055,0.025,0.025,-0.0013807954349948082,0.6362967688716856,0.03144329663789769,0.33020113776166277,0.97345,0.9505,0.0015411035007422442,1.0,1.0,0.99995,3.92579960488461,1.9843981119112855,0.98165,0.9999,0.99895,3.54505014065726,1.7890849591850273,0.95545,1.0,0.99835,3.3359259343145284,1.6837939137050095,0.95205,0.998,0.99735,3.493496917745608,1.7620084195444954,,,,,
main,200,4.0,0.6,False,20000,10.0,1.1725599468215984,11.377794109883643,0.9502487562189055,0.025,0.025,-0.011699262989320003,0.704184991940986,0.03822447489364866,0.38237580303703655,0.97575,0.9511,0.0015411035007422442,1.0,1.0,0.99985,3.857500678189902,1.9516137569182386,0.9895,0.99995,0.999,3.532450978413978,1.7849566541989448,0.94135,0.99975,0.99765,3.2975807526857372,1.6659545949871604,0.9395,0.99705,0.997,3.4354167288211013,1.7343976352474784,,,,,
boot,60,4.0,0.3,False,1000,10.0,0.7740518631123859,5.065912151399281,0.9508196721311475,0.025,0.025,-0.045353417572943755,1.1693965681572724,0.08135719600065605,0.655183277000199,0.981,0.948,0.006892024376045111,1.0,1.0,0.998,4.1098545165327485,2.0378779451484594,0.987,0.998,0.997,3.8002193917901796,1.8781503664451349,0.942,0.998,0.995,3.557634201916171,1.755922833243996,0.952,0.989,0.99,3.7798122239559806,1.8634146336122472,0.901,0.995,0.993,3.481189691850482,1.7156439628355837
boot,200,4.0,0.3,False,1000,10.0,0.8530068926522756,10.768284452168537,0.9502487562189055,0.025,0.025,-0.001146317831993593,0.6352837606612761,0.03623830831522623,0.3731938872348385,0.97,0.95,0.006892024376045111,1.0,1.0,1.0,3.9329929668955157,1.988024913860577,0.983,1.0,0.999,3.546101124284105,1.7894686174861865,0.948,0.999,0.999,3.3528650280398398,1.6920816912815568,0.947,1.0,0.999,3.5000978095279063,1.765367470034568,0.92,0.999,0.999,3.322950141715973,1.6764418734004263
