K,d_over_A,nu_per_pop,sig_mis,reps,grid,m,nominal,Cg_set_cov,fallback_rate,cert_ge_grid,cert_over_grid,mc_se,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_contain,uncorrected_over_oracle,sep_bonf_cov,sep_bonf_w,sep_bonf_contain,sep_bonf_over_oracle,Cg_ratio_grid_cov,Cg_ratio_grid_w,Cg_ratio_grid_contain,Cg_ratio_grid_over_oracle,Cg_comp_cov,Cg_comp_w,Cg_comp_contain,Cg_comp_over_oracle,Cg_ratio_cert_cov,Cg_ratio_cert_w,Cg_ratio_cert_contain,Cg_ratio_cert_over_oracle,captured_sep_bonf,captured_Cg_comp,captured_Cg_ratio_grid,captured_Cg_ratio_cert,cert_over_comp,cert_over_sepbonf
60,0.5,8,0.0,10000,31,58,0.9508196721311475,0.9775,0.0,1.0,1.0132229911180344,0.0021794494717703367,0.947,2.0210940795732375,0.9826,2.493322458417253,1.0,1.236329140795187,0.977,2.3984162949604593,1.0,1.187912569178376,0.9616,2.1992752163990126,0.9849,1.0864479724312117,0.9655,2.2475413212379762,0.9988,1.1109885924475928,0.9645,2.2273053818159987,0.9978,1.1005803744807583,0.20486924064422032,0.5303643381677577,0.6342051930610993,0.5744055339839553,0.9910535132036442,0.9283547316395449
60,0.5,8,0.4,10000,31,58,0.9508196721311475,0.9705,0.0,1.0,1.016351594135415,0.0021794494717703367,0.9513,2.02978309871283,0.9827,2.5042157349368384,1.0,1.2367739358164298,0.9779,2.401736176185075,1.0,1.1846662847593157,0.9647,2.2069810670941328,0.9381,1.086272249697812,0.9687,2.2547401524903186,0.9814,1.1104177164873468,0.9674,2.24178475434208,0.9763,1.1037752684507365,0.22007342521650292,0.5336576380055897,0.6356345161035852,0.561711604392161,0.994442316987734,0.9333621435103788
60,0.5,16,0.0,10000,31,58,0.9508196721311475,0.9718,0.0,1.0,1.0090934792881103,0.0021794494717703367,0.9515,2.026006477555391,0.9843,2.497246336514417,1.0,1.235447049528365,0.9761,2.365248298889775,1.0,1.1681642443458378,0.9636,2.1903723328736278,0.9838,1.079314291492007,0.9669,2.231575567769623,0.998,1.1002112484352184,0.9653,2.2095697821430482,0.9953,1.088978537602502,0.28576618529433484,0.5743788310961793,0.6631332112639114,0.6220868438116376,0.9901221951972359,0.9338116305509296
60,0.5,16,0.4,10000,31,58,0.9508196721311475,0.9735,0.0,1.0,1.0097480355585187,0.0021794494717703367,0.9507,2.0271383989597687,0.9832,2.5012470731766445,1.0,1.2365384792952423,0.9775,2.371141060948052,1.0,1.1703714755541297,0.9648,2.1960320485503266,0.926,1.0820048470331773,0.968,2.23738192546044,0.9707,1.1028524058320437,0.9667,2.216653300461812,0.9548,1.0924131225881748,0.2797304013209807,0.5651768535145375,0.6533128678365239,0.6093104053787938,0.9907029769062098,0.9344692299238763
60,1.0,8,0.0,10000,31,58,0.9508196721311475,0.9763,0.0,1.0,1.0284852915475806,0.0021794494717703367,0.9512,2.0218509617271563,0.9924,2.905455641501091,1.0,1.4421797098382558,0.9882,2.7082041049365717,1.0,1.3416365019197791,0.9721,2.3347924998605305,0.9855,1.151610742977264,0.9769,2.423257127708949,0.9983,1.1965811124655146,0.9764,2.3980698248949133,0.9987,1.18363309853768,0.22738087180719857,0.5554271078213389,0.6571286750522284,0.5847093513068459,0.9901214452627819,0.8857530573488966
60,1.0,8,0.4,10000,31,58,0.9508196721311475,0.8901,0.0,1.0,1.0239514488195383,0.0021794494717703367,0.951,2.0297062715581413,0.994,2.934999185307934,1.0,1.451811305239362,0.9897,2.736845943766279,1.0,1.3511781162302772,0.9723,2.365032592406553,0.963,1.1632425938341322,0.9775,2.4561140816520157,0.9921,1.2092506271545,0.9758,2.4185733977143435,0.9892,1.1903313405196732,0.22273278211967504,0.5368627904438057,0.6386929854540735,0.5787371003945135,0.985109118820038,0.8837235163006466
60,1.0,16,0.0,10000,31,58,0.9508196721311475,0.975,0.0,1.0,1.0203680397336166,0.0021794494717703367,0.9517,2.0280685071204454,0.9945,2.9122846850028954,1.0,1.44080737916787,0.9887,2.660433536223445,1.0,1.3128696502705879,0.9731,2.3332056281975873,0.9841,1.1468448321401823,0.9784,2.4104856934701493,0.9981,1.1860038309390344,0.9767,2.378278267481283,0.9974,1.1696057102142894,0.29023499819534626,0.5780383003338978,0.6668730173769158,0.6152384959288545,0.986848754019405,0.8935196508641793
60,1.0,16,0.4,10000,31,58,0.9508196721311475,0.9594,0.0,1.0,1.0199613461024901,0.0021794494717703367,0.9484,2.0262817069682177,0.9923,2.9220766496706676,1.0,1.4477702994577049,0.987,2.6406896158564894,1.0,1.304752981570062,0.9708,2.332321754559695,0.9383,1.1491200911635155,0.9756,2.4086719551067914,0.9798,1.1876901703641525,0.9739,2.376544292456701,0.9735,1.171529381888643,0.31939884816132574,0.5808338101221446,0.6669719020128958,0.6169255037764175,0.9868641913071052,0.8998225848180326
200,0.5,8,0.0,10000,31,191,0.9502487562189055,0.973,0.0,1.0,1.0113741446912579,0.0021794494717703367,0.9502,1.9775889520787022,0.9835,2.432694416605003,1.0,1.2310721653090473,0.9787,2.331861181669911,1.0,1.17962817098032,0.9597,2.077891479174518,0.9883,1.0500555359385884,0.9627,2.1095191902681463,0.9985,1.0661815084151491,0.9619,2.1012539483723436,0.9988,1.0619334124573285,0.2226317231239147,0.7135894393570306,0.7833770420957382,0.7319737218262713,0.9961376129212464,0.9011754351947416
200,0.5,8,0.4,10000,31,191,0.9502487562189055,0.8615,0.0,1.0,1.0110505523165425,0.0021794494717703367,0.9555,1.9789198616962007,0.9864,2.4371312937545664,1.0,1.2326455532206775,0.9813,2.3315893768718547,1.0,1.1788169601152099,0.9644,2.081249015461239,0.9137,1.0513309224469947,0.9671,2.113051078200015,0.9669,1.0675120460299505,0.9664,2.1039758427082473,0.9588,1.06289957491707,0.23137598101610027,0.7098072793770035,0.779359967399401,0.7296334529230989,0.9957527097800768,0.9023642023991085
200,0.5,16,0.0,10000,31,191,0.9502487562189055,0.9727,0.0,1.0,1.0070862222530668,0.0021794494717703367,0.9505,1.9791831586009008,0.9833,2.4360095666817125,1.0,1.2317226325929866,0.9761,2.298262767733879,1.0,1.161518644997138,0.9593,2.0724132597729397,0.9831,1.046379541945396,0.962,2.099237490731438,0.9975,1.0600558182902484,0.9608,2.0869232167900247,0.9955,1.0537574571766222,0.3029656050868355,0.7408288624282353,0.7998488907777074,0.7680094664251229,0.9941377248161445,0.9080276224027055
200,0.5,16,0.4,10000,31,191,0.9502487562189055,0.962,0.0,1.0,1.0074225372364698,0.0021794494717703367,0.9494,1.9806324155738264,0.9844,2.440075821483576,1.0,1.2330902118628,0.9767,2.2994675132360527,1.0,1.1614157993481429,0.9584,2.0775564348001963,0.9051,1.0485645331018214,0.9615,2.1045608234321516,0.9576,1.062290490811497,0.9607,2.092797687229474,0.9407,1.0563146289542513,0.30749644930112136,0.7327623055739382,0.7916491957611367,0.7583998551281987,0.9944175707347764,0.9100926532997305
200,1.0,8,0.0,10000,31,191,0.9502487562189055,0.9742,0.0,1.0,1.0209226151746231,0.0021794494717703367,0.9502,1.9794906875200549,0.9942,2.829916840126238,1.0,1.4312601795643698,0.9897,2.638760546814019,1.0,1.3338958137809156,0.9657,2.159139620067968,0.9867,1.0894879776936235,0.9705,2.218008107523611,0.9985,1.1194762969670229,0.9686,2.203567509146585,0.9983,1.1120856229127254,0.22576711321180912,0.7229600537482735,0.7924965440026986,0.7400974441323407,0.9936307404238524,0.8351765133070891
200,1.0,8,0.4,10000,31,191,0.9502487562189055,0.9487,0.0,1.0,1.019912536736052,0.0021794494717703367,0.9503,1.9818639411966243,0.9944,2.8377594244422113,1.0,1.4335326017342545,0.9899,2.6475144114847695,1.0,1.3367299958493108,0.9676,2.1688457550269633,0.9542,1.0934204448765934,0.9718,2.2298909261150954,0.9889,1.1244301170211446,0.971,2.211247629901783,0.985,1.1149970751862872,0.2232879499666357,0.7129855597401706,0.7845134495009489,0.7347441121468927,0.9917441929731945,0.835125925579395
200,1.0,16,0.0,10000,31,191,0.9502487562189055,0.9736,0.0,1.0,1.0161757081221867,0.0021794494717703367,0.9513,1.9779628723489109,0.9951,2.814001719957222,1.0,1.4240777893594183,0.9884,2.559201595904141,1.0,1.2942191622239247,0.9657,2.1446848707784922,0.9848,1.082948979097378,0.9699,2.1937960939762546,0.9981,1.1079706964786546,0.9684,2.178829666095837,0.9975,1.10032483703934,0.30621416729145085,0.745398841467865,0.8044015009070037,0.7634282210561334,0.9932528200340989,0.8512477110726265
200,1.0,16,0.4,10000,31,191,0.9502487562189055,0.9748,0.0,1.0,1.0151678315462926,0.0021794494717703367,0.9534,1.9816465928350553,0.9939,2.8320939929503717,1.0,1.4308855850021034,0.9883,2.5667921034231482,1.0,1.2958123674021318,0.968,2.1576338374727673,0.9366,1.087936325974164,0.9716,2.208281820899698,0.979,1.1136668221315051,0.9704,2.18976680699405,0.9708,1.1042964813174874,0.3134781536015233,0.7362018454830642,0.7959172248156442,0.7579485484134304,0.9916747001304824,0.8529361769533919
