m,rho,nu,reps,D,K_naive,K_known,K_eff,rse_bound,rse_bound_known,score_var_check,oracle_bias,oracle_bias_mc,oracle_var_ratio,equal_bias,equal_bias_mc,equal_var_ratio,plug_bias,plug_bias_mc,plug_bias_pred,plug_var_ratio,plug_rmse,equal_rmse,oracle_rmse,plug_at_zero,equal_at_zero,gate_open_plug,gate_open_equal,gate_open_true
30,0.3,5.0,2000,0.0989010989010989,30.0,24.84299999999999,24.802819432519307,0.28396477605961534,0.28373504367819913,1.0,0.008185182414954806,0.006448451861052196,1.0313640179681034,0.008185182414954584,0.006448451861052195,1.031364017968103,0.014009470753528097,0.006449287710318505,0.007120879120879121,1.0316314064038952,0.28868892583497924,0.2884275948802001,0.28842759488020014,0.0,0.0,0.0,0.0,0.0125
30,0.3,10.0,2000,0.0989010989010989,30.0,24.84299999999999,24.822893456300402,0.2838499331104879,0.28373504367819913,0.9999999999999999,1.28045568612567e-05,0.006268641658737755,0.9754371507348967,1.2804556861478744e-05,0.006268641658737756,0.9754371507348971,0.00325005701243386,0.006273927549860233,0.0035604395604395605,0.9770828751900367,0.2805272437847591,0.2802720834957273,0.2802720834957272,0.0,0.0,0.0,0.0,0.0135
30,0.3,25.0,2000,0.0989010989010989,30.0,24.84299999999999,24.834953475074062,0.28378100503270676,0.28373504367819913,1.0,0.00485246704025899,0.006249286833965564,0.9698939896852167,0.004852467040258768,0.006249286833965563,0.9698939896852162,0.006116030324624155,0.006245610869276533,0.0014241758241758241,0.9687533003358432,0.2793093418284674,0.2794488588575632,0.27944885885756326,0.0,0.0,0.0,0.0,0.01
30,0.3,100.0,2000,0.0989010989010989,30.0,24.84299999999999,24.840987879981718,0.28374653471477923,0.28373504367819913,1.0000000000000002,0.00733997601553793,0.006515579406716886,1.0545688693765884,0.007339976015538152,0.006515579406716888,1.0545688693765887,0.007545227134662991,0.006514344499651731,0.00035604395604395603,1.0541691593728173,0.29135521668324227,0.29140516893728885,0.2914051689372888,0.0,0.0,0.0,0.0,0.0135
30,0.3,-1.0,2000,0.0989010989010989,30.0,24.84299999999999,24.84299999999999,0.28373504367819913,0.28373504367819913,1.0,-0.014891126388800524,0.006254586395243216,0.9718544577858746,-0.014891126388800746,0.006254586395243215,0.9718544577858743,-0.014891126388360432,0.006254586395238061,0.0,0.9718544577842725,0.2800398681351152,0.28003986813536874,0.2800398681353688,0.0,0.0,0.0,0.0,0.0125
30,0.5,5.0,2000,0.3333333333333333,30.0,16.875000000000004,16.666666666666668,0.34641016151377546,0.3442651863295481,1.0,0.0023388557640888763,0.007708910169266182,0.990454933296926,0.0023388557640888763,0.007708910169266182,0.990454933296926,0.048817398252872124,0.00768881834157404,0.06666666666666667,0.9852987914954228,0.3472173316874325,0.3446746798735273,0.34467467987352723,0.0,0.0,0.0,0.0,0.001
30,0.5,10.0,2000,0.3333333333333333,30.0,16.875000000000004,16.770186335403732,0.34533933928711225,0.3442651863295481,1.0,0.00033667170305218264,0.00782029797677777,1.0256152993981686,0.0003366717030524047,0.00782029797677777,1.0256152993981689,0.024606272099411353,0.007813343527011856,0.03333333333333333,1.0237919881488502,0.3502015054675741,0.34964707517521015,0.34964707517521004,0.0,0.0,0.0,0.0,0.0005
30,0.5,25.0,2000,0.3333333333333333,30.0,16.875000000000004,16.832917705735664,0.34469524919095534,0.3442651863295481,1.0,0.005430446182412618,0.0077240951688296415,1.004279580288473,0.005430446182412618,0.007724095168829642,1.0042795802884732,0.017565957610585103,0.007716489413174595,0.013333333333333334,1.0023027676547145,0.3454525095945671,0.3453883617811084,0.3453883617811084,0.0,0.0,0.0,0.0,0.0005
30,0.5,100.0,2000,0.3333333333333333,30.0,16.875000000000004,16.864459712679576,0.3443727523957036,0.3442651863295481,1.0,0.0023516035668840196,0.007929297121292748,1.0603318717170642,0.0023516035668840196,0.007929297121292747,1.0603318717170638,0.005451519074166633,0.007921224771465016,0.0033333333333333335,1.0581740479462318,0.35420132272265437,0.3545280834602259,0.35452808346022596,0.0,0.0,0.0,0.0,0.0025
30,0.5,-1.0,2000,0.3333333333333333,30.0,16.875000000000004,16.875,0.34426518632954817,0.3442651863295481,1.0,0.0008334020767215566,0.007564738663972231,0.9656764490395637,0.0008334020767215566,0.007564738663972231,0.9656764490395637,0.0008334020770741635,0.007564738663979788,0.0,0.9656764490414934,0.33822183755131663,0.33822183755097784,0.33822183755097784,0.0,0.0,0.0,0.0,0.0035
30,0.66,5.0,2000,0.7717930545712262,30.0,9.5564208,9.207019279643703,0.4660746386609275,0.45747499955202187,1.0,-0.012876725249029053,0.010547329576321325,1.0242455508768835,-0.01287672524902872,0.010547329576321329,1.0242455508768842,0.15830265511629804,0.010499327609789168,0.2689544436569809,1.014943874840965,0.49540009613642,0.4717487533370202,0.47174875333702004,0.001,0.0055,0.0,0.0,0.0
30,0.66,10.0,2000,0.7717930545712262,30.0,9.5564208,9.378466867111804,0.4617948375729403,0.45747499955202187,1.0,-0.00380346639586282,0.010331471780393725,1.0010510742729748,-0.003803466395862931,0.010331471780393724,1.0010510742729746,0.09708565359744581,0.010324082955665365,0.13447722182849045,0.9996197300936568,0.4716910166586681,0.46193759897373493,0.46193759897373493,0.002,0.0035,0.0,0.0,0.0
30,0.66,25.0,2000,0.7717930545712262,30.0,9.5564208,9.484434940359009,0.4592078112714119,0.45747499955202187,0.9999999999999997,0.010409574017574919,0.010306439606982746,1.0074622624178073,0.01040957401757514,0.01030643960698275,1.007462262417808,0.05417417131189728,0.010331806924262325,0.05379088873139618,1.0124277145385865,0.46510274482471126,0.46092030903250564,0.46092030903250547,0.0025,0.0025,0.0,0.0,0.0
