K,d_over_A,nu_per_pop,sig_mis,reps,nu_total,m,nominal,t_true,w_crit,mc_se,Cgamma_set_cov,Cgamma_halfwidth,empty_known,empty_plugin,grid_sensitivity,oracle_cov,oracle_w,uncorrected_cov,uncorrected_w,uncorrected_contain,uncorrected_over_oracle,sep_bonf_cov,sep_bonf_w,sep_bonf_contain,sep_bonf_over_oracle,sep_struct_cov,sep_struct_w,sep_struct_contain,sep_struct_over_oracle,ratio_known_cov,ratio_known_w,ratio_known_contain,ratio_known_over_oracle,plugin_gamma_cov,plugin_gamma_w,plugin_gamma_contain,plugin_gamma_over_oracle,Cgamma_cov,Cgamma_w,Cgamma_contain,Cgamma_over_oracle,captured_sep_bonf,captured_sep_struct,captured_ratio_known,captured_plugin_gamma,captured_Cgamma,ratio_over_sepstruct,Cgamma_over_ratio,Cgamma_over_sepbonf
60,0.5,8,0.0,10000,480.0,58,0.9508196721311475,0.5,2.2483097528064238,0.0021794494717703367,0.9744,0.23659410453319485,0.0,0.0,9.422700431693798e-06,0.9516,2.0253098290260887,0.9826,2.497343911617343,1.0,1.2356284338692178,0.9777,2.400015522310759,1.0,1.1861615828578218,0.9642,2.200774992697963,0.9922,1.084846688945248,0.9596,2.1491807653181234,0.9508,1.0587494435479596,0.9597,2.1495341849352263,0.9482,1.0589584546128263,0.9636,2.2038390813766875,0.9856,1.0864754434641979,0.20993583074465408,0.6399131991330856,0.7506691251847488,0.7497820884997675,0.6330008138483201,0.9765563369490174,1.0254321632412682,0.9182603449392732
60,0.5,8,0.4,10000,480.0,58,0.9508196721311475,0.5,2.255200569225368,0.0021794494717703367,0.8798,0.22472407584187443,0.0,0.0,8.896920898449068e-06,0.9518,2.0232876777972373,0.9849,2.5049697690937953,1.0,1.241620559454685,0.9795,2.397389911637255,1.0,1.1867272107891615,0.9659,2.192540431053884,0.9946,1.0822489126202433,0.9607,2.1415927650686033,0.9507,1.0564235616237045,0.9597,2.1389601361931403,0.8382,1.0555218329159768,0.9654,2.1975392714743576,0.9308,1.0852045270017616,0.2271882359241804,0.6595947265171831,0.7664786400998026,0.7702106433273543,0.6473622642292515,0.9767631806174759,1.0261237838109534,0.9166382409499617
60,0.5,16,0.0,10000,960.0,58,0.9508196721311475,0.5,2.245233151806216,0.0021794494717703367,0.9753,0.1449782696782017,0.0,0.0,4.057821051839383e-06,0.9508,2.028306224441754,0.9822,2.5023069505979123,1.0,1.2365276397793497,0.9765,2.3693784578638364,1.0,1.1688830717725778,0.9626,2.1947584829245015,0.9886,1.0801117446627329,0.959,2.1506857614738513,0.9481,1.0578249488986955,0.9591,2.15125469581528,0.9485,1.0581327015506923,0.9626,2.194003723999608,0.983,1.0798115158589665,0.2859901196742829,0.6613007057548667,0.7555256165721738,0.7542244889226362,0.6625700238102382,0.979919101899575,1.0201414652487732,0.9259828106893734
60,0.5,16,0.4,10000,960.0,58,0.9508196721311475,0.5,2.242122029989713,0.0021794494717703367,0.6646,0.13627980096038808,0.0,0.0,4.201847902951528e-06,0.9557,2.0265977420531507,0.9849,2.504943069359442,1.0,1.2390026621047352,0.9772,2.3680166677191643,1.0,1.1693168169484205,0.9651,2.189649451990389,0.9897,1.078633141735981,0.9625,2.1455784024233266,0.9521,1.0563507647907682,0.9636,2.156055404968707,0.8393,1.062396537431399,0.9667,2.1985482676363945,0.9156,1.0837301051783828,0.2915693262269068,0.670994703391536,0.7642253676401551,0.7389295295629142,0.6496687340591598,0.9798730113959558,1.024687918723101,0.9284344563984851
60,1.0,8,0.0,10000,480.0,58,0.9508196721311475,1.0,2.2399785944772184,0.0021794494717703367,0.976,0.2275250237150968,0.0,0.0,1.6086280604232783e-05,0.9484,2.024362178686966,0.9936,2.906178915331289,1.0,1.4399418624148774,0.9899,2.731324377594817,1.0,1.3510377189930318,0.9723,2.360171317169632,0.9922,1.1623069357674383,0.9648,2.2618092282312476,0.951,1.1125290381689044,0.9654,2.2630556433176787,0.9483,1.113212710786406,0.9715,2.3527777385859157,0.9852,1.1586209575615871,0.20208157262835452,0.6310718537296678,0.7442183893316651,0.742664382595982,0.6394501839608908,0.9583241740873529,1.04021935591173,0.8614054624510595
60,1.0,8,0.4,10000,480.0,58,0.9508196721311475,1.0,2.2444678315789397,0.0021794494717703367,0.9741,0.20657375255085172,0.0,0.0,1.4842880109444678e-05,0.9499,2.02135832500846,0.9919,2.916437568826106,1.0,1.4479050614540492,0.9875,2.717616650375032,1.0,1.3467113609278865,0.9699,2.3360914865649582,0.9926,1.1525091020273859,0.9629,2.2421849128494626,0.9507,1.1049370366219289,0.9642,2.2565191036027503,0.898,1.113047901358812,0.9707,2.3506558112156144,0.9637,1.160586460808405,0.22592667338398506,0.6595057409436489,0.765715894611085,0.7476074483467082,0.6414721006119289,0.9598018424126111,1.0483773205967666,0.8649696089002189
60,1.0,16,0.0,10000,960.0,58,0.9508196721311475,1.0,2.2391659944116253,0.0021794494717703367,0.9716,0.14354023926664922,0.0,0.0,6.603228433155195e-06,0.9511,2.0231663114065777,0.9942,2.90737609964613,1.0,1.4414324845448903,0.9877,2.6613032637522918,1.0,1.3163773317494838,0.9716,2.3320188564830096,0.9894,1.1490840399430953,0.9662,2.2496629727240003,0.9505,1.1073862375520243,0.9657,2.250185002301516,0.9492,1.107714353810863,0.9711,2.325821755497176,0.9832,1.1460260829100477,0.28329395133739715,0.662272159021558,0.7567323626788869,0.7559890638272472,0.6691995083674047,0.9646847264849253,1.0338534187994208,0.8739408947396302
60,1.0,16,0.4,10000,960.0,58,0.9508196721311475,1.0,2.2489706589636413,0.0021794494717703367,0.6216,0.14981487418565376,0.0,0.0,6.687804068983283e-06,0.9517,2.0288318462438752,0.993,2.940731564393004,1.0,1.4555374434406758,0.9865,2.665090814034241,1.0,1.3155061889042972,0.9707,2.3225375762326554,0.9899,1.141671341108014,0.9647,2.242236162345625,0.9484,1.1011371187040022,0.9645,2.2578884722839656,0.8853,1.1099989207718783,0.9703,2.3369995949260476,0.9482,1.1497855696144044,0.30739790230792474,0.6890017645136483,0.777982863625626,0.758529353940576,0.6711893352101345,0.9654251389907388,1.042262913323675,0.8768930434263325
200,0.5,8,0.0,10000,1600.0,191,0.9502487562189055,0.5,2.249589296320728,0.0021794494717703367,0.9747,0.12550662566755877,0.0,0.0,1.220108403932052e-05,0.9468,1.9793863028200467,0.9811,2.4355766825324654,1.0,1.2312841431369717,0.9764,2.3371147662310356,1.0,1.1811208165417308,0.9563,2.0825930020267354,0.9931,1.0514017945973784,0.9532,2.0502674290477327,0.9466,1.0349433435108297,0.9532,2.050204117915481,0.9436,1.034913103217913,0.9559,2.080645425151751,0.9853,1.050426233211278,0.21689047037493167,0.7777547829254465,0.8489159566372196,0.849046706166809,0.7819728039833047,0.9844782091615865,1.0148166018118563,0.8902624103937858
200,0.5,8,0.4,10000,1600.0,191,0.9502487562189055,0.5,2.2400756130595854,0.0021794494717703367,0.825,0.12546183883588394,0.0,0.0,1.393151563533479e-05,0.9522,1.9824825199452258,0.9836,2.437513275100855,1.0,1.230600987709918,0.9796,2.3360689192457618,1.0,1.178955645313944,0.9618,2.0824606290750127,0.9928,1.0497770379800853,0.9584,2.0509850732123507,0.9549,1.0337610083893243,0.9592,2.0565252185280087,0.8273,1.0369148077082133,0.9622,2.0874915456631387,0.9127,1.052629710079348,0.22395976231004117,0.7841421302032681,0.8535955603460226,0.8399191257816732,0.7717715322817568,0.9848854017102628,1.017799482272004,0.8935915924677084
